,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,1.1669986240674222e-16,0.07682775889905877,0.020773709263120787,2.6514107582892208e-17,8.233658456193548e-17,0.05485919117677188,0.0,0.033939665464826435,7.540192954106491e-17,0.011069478248901513,0.0,6.30009536941107e-18,0.05908895750514755,0.0,0.11249972245581893,5.794020491917573e-17,0.05620765193263631,7.063722664136121e-16,0.0,3.329085966878884e-16,1.483442796754461e-16,7.972232545104274e-17,1.2879371813745864e-16,0.28110720188369587,0.02410549494812099,1.9265677694038572e-16,1.155537073157119e-15
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,1.1775364582610998e-16,4.762358042642578e-17,0.016025560919071487,0.0,0.024662829833597254,5.4074583352714534e-17,0.39861249577839375,0.0,0.006821565034961996,0.01946845503228246,1.0579295112587505e-18,6.6534952512296035e-18,0.057141697027301555,0.028036719420912085,1.5891693343206281e-16,0.15603920389655634,0.0067482859429338245,0.0,0.0,1.3791481896942677e-16,0.14507249318926604,0.0018795521827610314,0.0,9.248244531301353e-17,1.4442928190222526e-16,8.093600649510562e-16,0.0
GA,0,0,0.0,0.019420468250904918,0.015183234580263466,1.16420514950658e-16,0.0,0.033252317765312144,0.0,0.0,0.12061908700801213,0.02079284800778906,0.0,1.9291618169838746e-17,0.058003449902063825,0.08501381438485306,0.0,0.0,0.15561036919093044,1.3649082973619322e-15,0.3209260246859074,0.002631873602326183,4.5970137012291526e-17,0.021414205831466773,0.06198746691076518,0.0,0.0,0.0,0.0
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,1.4456912405108697e-16,0.05112886731904031,0.012059013689340958,6.204046907074892e-17,0.0,0.020813728887630015,0.0,0.057271095621673436,0.1015935319717803,0.02555330300195758,0.029779144057992618,0.08128473999719546,3.3881317890172014e-20,0.12450050694078785,1.9228867630116664e-15,0.0067042176251075536,0.08051093049260974,0.0,0.0,0.14873743551761637,4.17882690390288e-17,0.11406364407364464,0.047180354736441915,0.0,0.0,0.0,8.222150782436943e-16
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.0,1.877694311214178e-17,0.009179421204982838,0.0,1.22719909853338e-17,0.023006552443061077,0.006636642355916634,0.06724217746572259,3.5506709424509995e-16,0.01830565862404973,0.08729031952633137,3.4368940276431418e-18,0.058954689765390166,0.0,1.5151589835213364e-15,1.1176299329189634e-16,0.0,0.0,0.0,0.0,1.2779307086760805e-16,5.648305807531702e-19,0.0,4.581025229294378e-16,0.10851911720276716,0.03932263781812095,0.0
IA,0,0,4.505636129057156e-17,0.0,0.03894774607758393,0.09529250435120214,2.7752222885022607e-16,0.11002452958904659,0.0,0.039336699586889526,5.445240321057234e-17,0.01709259821418493,0.0,0.01425194697880773,0.05882833949372101,0.0,0.0,1.176374060789009e-16,0.02304442393396381,1.2761638375168618e-15,0.0,0.0,1.9504265146283194e-16,0.0,0.0,9.800927223118236e-05,0.04903461256813842,7.30552817855112e-16,0.0
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,4.765997089299872e-16,0.12696376167448473,0.013929480389068948,1.7862953919690733e-17,2.64435995804277e-16,0.02246704672504848,5.283036703885089e-16,0.047003662170788725,1.2338775320363474e-16,0.01831682812888115,0.0,0.0008719940188784731,0.060197250025596546,0.0,0.0,0.0,0.016128178645363478,0.056724769302729856,5.457725327319568e-16,0.0,0.0,0.0,0.2161657124731778,0.44319766191100124,0.14582856885886766,1.1824501831130408e-16,0.0
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.04626719228167395,0.022547815318647933,0.18463378966106622,1.87739685274404e-17,6.70950637485e-17,0.1234696906523665,0.0,0.05338364822260486,0.0,0.02199226623266401,0.0,0.11832542840762195,0.05924013378896651,0.0011256442703101424,0.0,0.0,1.9949319973733282e-17,0.11109245493073938,1.4712659558823925e-15,0.0,7.29331219275238e-17,1.1134989038919855e-16,0.0,9.141620441971172e-05,0.0998399292366616,0.0,0.0
NE,0,0,0.24200495182742174,0.0,0.0015734777817526045,0.11356392399956348,0.037007055300648684,7.738493006115288e-18,0.0,0.033537890429825766,1.5281565733916603e-16,0.027881688810649063,0.0,0.010649391271286387,0.05929958519959728,0.04091277214896893,6.289158646990978e-15,0.07765912776956918,4.3066543170197646e-17,0.0,1.2980089918011187e-15,0.11249105510607046,0.0,0.062258541494534816,2.5850856674257155e-16,6.057979638762756e-17,0.012483576113103734,0.0019347273670786088,0.0
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,0.0,0.045576264826850656,0.0431684776248015,0.0,0.1993682305098547,0.0,0.0,0.014790269286266146,0.1505450418360908,0.013596343714721319,1.703699128708016e-17,0.11227691618151979,0.0,0.0,2.755770871915031e-16,9.143736964819531e-17,0.1085416626998324,1.4524975430671132e-15,0.0,0.0,1.9202511177880364e-17,0.03782987174444417,0.17680196194407985,0.0,1.2841019480375193e-16,6.713373689007703e-16,4.164098712207308e-16
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,8.953097018909479e-17,0.0,0.008660886162389959,3.6182136004583826e-18,0.0,2.665782091598734e-17,0.08516858311936351,0.04556979707883013,4.473212766326237e-17,0.017137276466106174,0.10711049626431077,0.043465625595877244,0.05865861296512628,5.573864510837321e-17,0.0,1.0546639422472131e-17,0.020600408933827384,0.0,6.75117995295203e-16,0.0,7.351357486370151e-17,0.0,0.0,0.0,0.0,0.0,0.0
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,0.15996218208192994,0.0,0.03601766221955872,0.07299494548839977,0.18374320204795042,1.7283945791920865e-17,0.0,0.04693303659676067,0.05420290701837007,0.024309525664481895,5.835700830666975e-17,0.13568366832901174,1.4230153513872246e-19,0.10251183381076731,0.0,0.05459289014710514,0.006787873771707369,0.0,3.763502177768692e-16,0.0027155455586237087,0.10058444850338148,0.11566756729202066,2.3703188748488186e-18,4.222425360744797e-16,0.0,0.0,0.07342368955742776
RI,0,0,0.013505648195772026,0.049044808016246624,0.007359929759174181,0.017755987523272756,8.113260070338516e-17,4.5075705321084847e-17,0.0,0.08444100666378544,0.05180035727481092,0.02065638505137072,0.11773791385563936,0.027371084468559174,1.4831195250732998e-19,8.872823613478972e-17,1.2836953722228372e-15,0.05342341955475634,0.0,1.022644265276956e-16,0.0,0.0,0.0,0.02695528861380105,0.0,0.0,0.0,0.13702408391016166,3.922988951231347e-16
SC,0,0,5.002917202385105e-16,0.01601204944124195,0.012852908734230669,3.3162137482128286e-18,0.042515627471602487,0.1276673429045538,0.0,0.060853486264418555,0.0,0.024281601946084162,0.06117487103619803,4.6267597277407493e-17,0.0,4.7344572707890214e-17,2.308456160601824e-15,0.11926029534677224,0.009970016197491013,7.662436218156753e-16,0.0,0.045160462122859325,0.002773217680580793,0.1364865111064103,3.6166658309086864e-16,3.9410748969848086e-17,0.0,0.11626183255443108,3.4487403543584534e-16
SD,0,0,0.0,0.06592184813824806,0.012771734993149278,3.637354513824612e-18,7.745768450759436e-17,5.587029320089365e-17,0.0,0.014335894356830815,0.0037233310446013928,0.01714006836229267,0.0,9.09106544107581e-18,0.058952735410432486,4.6625237684186985e-17,0.0,0.1156473976179727,0.08670698408550245,2.163058107358993e-15,0.05814355742684575,0.0,0.0,0.0,0.0,0.0,0.0,1.1490938566722725e-15,4.615382538259521e-16
TN,0,0,3.8597941838918253e-16,0.024012823672238556,0.2521406503787756,0.0,9.042261596408794e-17,0.25269108320191075,0.0,0.04647413418014858,0.0,0.01832799762290801,0.0,3.2243770952076866e-18,0.059548679779253315,8.730646401087723e-17,0.0,4.0972249225360314e-17,0.03535208161210117,0.0,0.0,1.2951712626623336e-16,1.6903969647034422e-16,0.0,4.655013181163253e-17,0.27550571072865243,0.19856975601187002,0.0,0.0
TX,0,0,4.722213099682981e-16,1.1488759867842562e-17,0.01072286184820034,5.650732163138874e-17,8.428340680755122e-17,0.04570576475758832,0.05354266740650879,0.01735340744675656,8.786177580281423e-17,0.015924216335076975,8.942152724482195e-18,0.04592642898905459,0.05839315103348122,0.0011780539128387764,0.0,7.817021910290102e-17,0.03814158321264388,3.733353132025525e-16,0.0,1.0899548361274688e-16,3.648202246783028e-18,0.0,1.5742066857655816e-16,2.0252896582029223e-16,1.9895109865109006e-17,1.359958340391053e-16,0.0
UT,0,0,0.0,0.003053051550332961,0.023349310754819354,1.0594413622572508e-17,0.09649170507816382,0.06271414340960112,0.0,1.1184223035545782e-17,0.10316063796617661,0.019460077334158773,6.479552813392054e-16,2.1659003783761513e-17,0.057791612442039855,0.024283878170404904,0.0,0.0,0.11225909811477601,2.599720662007441e-16,0.0,0.0,0.05702141468162116,8.106851254243733e-18,0.14532632362793055,0.0,9.52742659071637e-17,1.3718724739712643e-15,0.0
VT,0,0,0.4645740174764349,0.02298366120355645,0.006054419580673851,0.10838480321332425,8.43550574468151e-17,0.0,0.0,0.04120249797644346,0.0,0.029066825018072465,0.023269523396999153,0.001848828506870183,0.05930651134507287,0.0026758639053012694,1.4850859257620197e-15,0.17382698897870635,0.0,7.939213464535012e-16,5.209921053305416e-16,0.11938963605448387,0.0,0.2175581579424692,0.0,0.0,4.868745380817718e-16,0.555852928629311,0.6664884619507973
VA,0,0,2.4235583172738846e-16,0.0,0.0329376722843061,0.10994834222313361,0.08149355328483598,0.12332860848710922,0.4560396113398196,0.05498323203049957,0.0,0.024276016880340978,0.0,0.21365111693795574,0.058470809742220214,0.1376664955585725,2.820768792155537e-15,0.0,0.11150597187281565,3.34951467587823e-16,1.0552109694546359e-15,0.09173567746912677,0.1540363463633744,3.281818459041945e-17,1.3703531876967385e-16,0.0,0.01425474470603365,0.0,0.0
WA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
