,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,5.231154145965875e-16,0.06071530160039059,0.010168915779190909,0.0,0.0,0.029383186060570516,0.11159997931845264,0.15903527256997912,3.5092051056685074e-16,0.04258333736218454,0.0,0.0,0.04272605997429532,0.0,0.0747962468420045,1.0285345210394971e-16,0.0950024146471139,0.07955649971423492,0.1850155170199507,1.002981762334508e-15,0.0,0.0,0.1052611110018785,0.27499474319920586,0.0
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.0,0.0,0.025709399247635455,4.100221102345356e-16,0.05593798619203054,9.842416800847607e-18,0.033310342800259574,1.795980898722238e-16,0.029698675921808786,1.0123426656800105e-16,2.297384277598829e-16,0.011060569321356998,0.03986701714055907,0.0,1.207042278628112e-15,0.08107198865634535,0.0,8.911929434513797e-16,6.074784772436281e-16,0.0,0.019211713080491334,5.3258490810379135e-17,5.095750210681871e-16,0.006814454057279458,3.396548241143113e-17
GA,0,0,0.0,1.7832415231955334e-16,0.06222488401366773,0.0,1.830159189483074e-16,0.0,0.09537196661478257,0.0,0.0,8.553103550304205e-17,1.195169938279058e-16,0.0,0.041574765213133476,8.065429237246243e-17,8.591218014775137e-16,9.477785895955052e-17,0.052193087658860236,0.0,0.13745144113372273,9.850815001685688e-18,2.3116887407080505e-17,0.0,0.0,2.222002595099495e-17,8.194922967794497e-17
HI,0,0,0.0,2.230679403040961e-16,1.2553705904666534e-16,0.0127662623560328,0.06791843260601563,0.0,0.0,0.0,0.1668957201731692,7.353384668344745e-17,0.04816585820959043,0.0,0.025585822369718722,0.07613346481536375,0.0,0.03544205301660493,0.17259791371714173,4.820379332757256e-17,0.0,0.29015856547207997,0.033245692090859674,0.2599712779268363,0.0,7.717005255953507e-17,0.12415268240047947
ID,0,0,1.800024489441605e-16,0.1295167579344822,0.12008961248175636,5.931339838427372e-07,0.16046015942264402,1.2455811976255036e-17,1.2313826174004117e-16,0.09800458784696672,0.1384791642417838,0.050066191341572835,0.07360190665304672,2.307810520910662e-16,0.026339624058914844,0.18167096412615166,0.33657638227401393,3.5530950065648095e-05,0.0,8.498996360010822e-16,3.0642733953885343e-16,2.26879188016638e-16,0.0,6.867234255531576e-16,6.552917930502389e-16,3.0685496322771324e-17,1.9328365853984488e-17
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.0293191366114975,2.5687385178979017e-16,0.0,0.0,0.0,0.10242737600495344,1.3235398020616795e-16,2.7647155398380363e-18,3.4342189616773524e-16,1.7854419230101705e-17,0.035262327389989294,2.2143262433740225e-17,0.04301292296411756,0.0,0.0,9.527141790122797e-17,0.03617528403481233,0.03595571038646506,0.0,0.0,0.0,2.325920535266749e-16,0.0,0.027107147975542423,0.17664722404276204
IA,0,0,0.0,0.0,0.0,1.4648070901832471e-16,5.712088539421684e-19,0.12193339687798191,0.0,9.969238976004213e-17,8.072071699630478e-16,0.0578527580705335,1.805266623858084e-16,0.0,0.04291531739819908,6.372595871339645e-17,1.2793585635328952e-17,0.0,0.043915610728530945,0.06467059407182173,0.0,0.0,1.3046109639828835e-17,4.3620334438378905e-17,0.05020934603711552,0.03235397940951787,0.07986796300064572
