,MA,AL,AR,DE,IL,ME,MO,WV,HI,NM,CA,CO,CT,WA,AK,OH,MN,MD,LA,NV,NC,NJ,NY,KY,KS,MI,OR
2021-02-19,13.453185100105207,10.700000000000085,13.149453011230527,14.495098551111615,13.296172899585743,13.325920884425251,12.712576940633328,13.916150384030173,13.383228350739886,13.386041390539622,13.185408127815776,13.095418034776095,13.329022924449301,12.8896105362859,14.538359974419082,12.639639145590905,13.464493441789015,13.487581167029376,13.017438154086554,12.1612387545003,13.597804904078286,14.275404874180706,13.21941736284147,12.98887174182415,12.916255409011313,13.131333238517222,13.378935699613807
2021-02-20,13.772578775416296,10.90000000000009,13.483050844571018,14.898363762849938,13.632275581469393,13.632977783147847,13.010976418134284,14.233352850642408,13.713999370869436,13.724907773509308,13.249007186518604,13.405005615137565,13.694573999854452,13.211863336814515,14.909058261753437,12.948759508869019,13.814220995585636,13.81672471844752,13.205145503013991,12.42204671684194,13.932720324141181,14.676379859033705,13.589941410979227,13.330616070218081,13.23590896885321,13.515831176062514,13.688995286312698
2021-02-21,14.248617609260801,11.00000000000009,13.735429343287407,15.290556132110577,13.921857385592583,13.95263219590137,13.262687617200848,14.521413611149738,14.006926004003724,14.037720948015917,13.436855940065099,13.691463293843078,14.022955221459492,13.520676424306597,15.208600976903638,13.21991105985099,14.128445027411619,14.070749975411713,13.444131717592866,12.67099271861702,14.237664057947583,14.865106533408621,13.879821957481003,13.62050178190712,13.505928400555627,13.846210024207092,13.992375986157553
2021-02-22,14.619691355678349,11.100000000000094,13.867676902667265,15.497499967380547,14.112163146725397,14.230457142271845,13.392810377804908,14.666495492231526,14.249263855961292,14.25522550624401,13.549007186518628,13.927250261087222,14.283062837778495,13.786923267981697,15.43255662582191,13.387698289001246,14.361187980755071,14.310203456666839,13.592188232874937,12.846524472717423,14.375083201956231,15.173291444395408,14.134647478228898,13.798137059136321,13.742307375664288,14.190996725607006,14.190574790082549
2021-02-23,14.905193689980026,11.100000000000094,13.947029375024135,15.66517426855345,14.229232811382895,14.438434103875133,13.426344277134083,14.783634431552873,14.370090071356394,14.393592586414432,13.645997812328217,14.114641847719335,14.47241367632788,14.01882218871365,15.551680659258205,13.447388967146905,14.513460797499658,14.484192043166486,13.670899540324807,12.945527264277652,14.474101675024738,15.368565742309968,14.262197423112967,13.917914028991936,13.879084179851354,14.351024354529192,14.30180132976607
2021-02-24,15.02354953945965,11.400000000000096,14.186203162049642,15.954251574292039,14.469748786985894,14.600779446274515,13.656665872057143,14.958438225370438,14.590930468486363,14.626649419764776,13.845997812328225,14.266930700269908,14.70992090971621,14.182030376308235,15.832702394605288,13.663732752368189,14.675276872115589,14.643608853957069,13.96182923962162,13.175892208404104,14.747813194391272,15.724726308328025,14.474529501896427,14.134570032900035,14.100716878052,14.585133893971493,14.513909135795481
2021-02-25,15.250157508712803,11.600000000000097,14.45857390875298,16.311060512380774,14.756838965080414,14.841892180300952,13.942025253776915,15.233439207699302,14.88777683093624,14.936422248625473,14.045997812328235,14.535936159179597,15.046941794893034,14.474012912459095,16.169379397101988,13.855489911094086,14.952433356138684,14.997634110921265,14.07989558180239,13.468639480710822,14.985057267671824,16.043173349098193,14.800675234864633,14.377990619123596,14.378670035954345,14.94823134310408,14.753514390413844
2021-02-26,15.680692739561449,12.0000000000001,14.795717964253802,16.759670074651233,15.13934720337549,15.244168070953998,14.29404957048651,15.679023788427621,15.292062836877678,15.334980541220599,14.406587496840636,14.925121610587913,15.447495614206927,14.902301310311882,16.65188522519789,14.319282513877225,15.320257939584186,15.355921213757549,14.691892433960504,13.721780972817916,15.365507784039236,16.482840403115617,15.166225296564871,14.753899399076351,14.768479017536874,15.344472895469663,15.187576811192189
2021-02-27,16.13965618242416,12.400000000000102,15.221548556470387,17.2212923033083,15.569427413062218,15.598897042988217,14.669978829469212,16.162498767093112,15.821394077168454,15.765473511455053,14.779328427806563,15.325066849945797,15.842632519115297,15.261628343800883,17.2139044834227,14.838216038988826,15.74877902107686,15.667360851548839,15.334395559835142,14.070644328467408,15.761334768887735,16.963935089044067,15.653300380984653,15.17346020027121,15.204380265496598,15.861429111484942,15.601358536445893
2021-02-28,16.645590017868393,12.900000000000107,15.535088551870341,17.697373870725393,15.971145401374228,16.067734351638467,14.935960818722286,16.57589227293463,16.265387022762894,16.204504091075716,15.255139684591384,15.776941430301122,16.312721842664253,15.73977380543071,17.715724155871857,15.396532545886823,16.189899991263097,16.00994647072175,15.794670466964162,14.404320983178819,16.185223820938983,17.456303100597616,16.068530495921692,15.573442711653572,15.64532493062582,16.364382768926255,16.09031931635543
2021-03-01,17.033653269165743,13.200000000000108,15.813618651409305,18.101316922303774,16.274642201348573,16.407558699530462,15.08565461108151,16.9588524400124,16.57818730148036,16.516571727191447,15.500507796831364,16.09534393597897,16.643559713225077,16.07708551003624,17.966232273953395,15.742078627493148,16.491585903971707,16.13482817626781,16.094005847897684,14.618717163287045,16.45050445134855,17.957150436779415,16.419519218428988,15.941528855103492,15.934229911758022,16.72511416295788,16.36425740815398
2021-03-02,17.310903483693895,13.400000000000109,16.0160290017756,18.24463714833461,16.46671894738807,16.665547830055186,15.174904047913614,17.1502451017561,16.756777756342128,16.696623665981146,15.65507873296292,16.32261400743691,16.84622590475092,16.31550597879586,18.14928714803627,15.896170484319686,16.683161698295788,16.29424498705839,16.24213662240539,14.818790448554061,16.66820946864364,18.213910908497255,16.58561067163052,16.19772146053203,16.172504682957953,16.95369840078597,16.53039575997695
2021-03-03,17.530937388253903,13.80000000000011,16.29679135801587,18.61224596241069,16.760097315443524,16.975482201742487,15.409959983124356,17.45454952455302,17.01562498147797,16.984972846052504,16.0126590432849,16.602428550210124,17.15471547222127,16.580935944185654,18.40998176315434,16.223870808793418,16.99741135263195,16.48393505722141,16.49408010712335,15.065184920181977,16.946502487049788,18.725380346126844,16.867158128736037,16.496333152589788,16.47120892947919,17.341683397720416,16.827518340190746
2021-03-04,17.775330055551947,14.100000000000112,16.58407028628712,19.02492441404554,17.092546576741597,17.29281593790316,15.687375481282077,17.79906868688859,17.364774129900123,17.342931570262465,16.412659043284908,16.962177342148756,17.529374780008087,16.928650350924435,18.737638304475176,16.537961908438024,17.369674064213257,16.83796031418561,16.854429273478008,15.371047072959975,17.276579492460115,19.21155318645185,17.21651971866386,16.861752350686427,16.811745033007387,17.67996283557858,17.137322425609078
