,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
2021-06-17,91.3888503838182,81.68766176564881,82.27814219106345,91.02210606682819,86.37609678416021,82.96585230278758,91.44540914313426,84.50318734971162,83.329642395786,86.91479702243316,84.05135959604455,86.50869316638158,86.54624030953131,89.5988461510462,78.82850184491343,92.40594486713132,83.93998592225222,80.10059047600477,79.50950939546125,89.29593886545669,91.5105082034162,93.99074275062863,78.22723652798092,79.29545193131044,83.09798242947534,94.73647311117894,97.51848416859313
2021-06-18,91.43202138865823,81.73298098772038,82.34851265527857,91.04482319879068,86.43125154435378,83.05042522917879,91.50611245427164,84.53634398823756,83.36273765310249,86.97118916343508,84.13227823553555,86.56461018091535,86.59682718243795,89.63939277276438,78.82850184491343,92.45388890085246,83.99046814934351,80.14534752192424,79.5492443789735,89.35264815973453,91.54051722204032,94.0207039144782,78.27194274075924,79.3324755176934,83.17003551392901,94.73963733006929,97.53891109531638
2021-06-19,91.46740306234192,81.77969781117977,82.39899916714431,91.10449737111985,86.48448118725102,83.11526091846754,91.55605574681498,84.58238811722944,83.41373321913257,87.02367424187356,84.19744738754746,86.629188531679,86.65598995350065,89.71152624316032,78.86615986129527,92.48320589926699,84.0598499251157,80.20551237175648,79.6008637061575,89.42594301199927,91.62103435599533,94.04331307444221,78.2780174131097,79.40597073746078,83.19360029083549,94.75449446979702,97.56223203448582
2021-06-20,91.49234962675905,81.80337869271703,82.43989175234155,91.1138294945029,86.49670405320101,83.14190210730213,91.59852587785063,84.61366172938737,83.47041223924123,87.06633939445716,84.23934549171045,86.629188531679,86.67598609575056,89.72467218071719,78.95741197081264,92.53034515148728,84.08008855740415,80.25709937493805,79.62502676118439,89.46728023718443,91.62662656099373,94.07327423829179,78.31664895353757,79.40628889075406,83.25627235878014,94.75765868868736,97.56431192020757
2021-06-21,91.50851062044879,81.83611410408433,82.47407988187246,91.15609988938493,86.51897525573976,83.20043357078443,91.61132632934923,84.66092080990192,83.51960275883002,87.0914498696103,84.27277928781888,86.68232861230192,86.70265789560374,89.73950283551048,79.08209593804898,92.54117370611907,84.11033215220701,80.32632114760226,79.66942789496441,89.47620797597078,91.6594144754642,94.07789010222618,78.31664895353757,79.44299432384373,83.29752466175282,94.7725158284151,97.56972721328218
2021-06-22,91.56200664893697,81.89849664558825,82.50881879791785,91.208564879642,86.57639218294226,83.21747981453775,91.65970963721995,84.71754653479526,83.54355237027858,87.136895910056,84.28693648804742,86.73003547817815,86.76331354006471,89.82243384855957,79.15318581214977,92.59070461946577,84.19897009281077,80.38957863971088,79.7018676520066,89.57360688873406,91.69521137659477,94.1264848206455,78.42723652798092,79.53215736440012,83.33572484022697,94.82168949364943,97.58450597132551
2021-06-23,91.57611965903713,81.95815138880167,82.54127219152576,91.22242106051856,86.60884527176862,83.2752754505316,91.77167326524527,84.73713191856508,83.63754250112426,87.1884696673135,84.3647450188238,86.78916183760349,86.79724091262463,89.85308574034346,79.18209593804897,92.69494564346,84.2238901835319,80.42632114760225,79.74340645634709,89.6303161830119,91.72522039521888,94.21628532359473,78.43331120033139,79.53215736440012,83.37541031067663,94.84067480699146,97.59844231174591
2021-06-24,91.75112231916687,81.99045001667308,82.60218339604002,91.40067806376999,86.6737549914309,83.39392882732709,91.8218755507146,84.79953057703375,83.66534809431923,87.2485829051697,84.39806523814536,86.93372231862159,86.86149863450609,89.93868256625706,79.24443792166714,92.75796302930456,84.25948351093491,80.46093203393436,79.76576569054575,89.75177040881212,91.78132071554819,94.3459994619226,78.47194274075925,79.56918095078308,83.52173474715698,95.02763977503935,97.62384313663709
2021-06-25,91.7786424650308,82.02459044913671,82.63038898943319,91.41828719889115,86.73170439827786,83.41381823131609,91.85712260145829,84.83159488003527,83.72009232330487,87.29442977368905,84.48199981956336,86.95756806005446,86.91635371644003,89.9678784855004,79.28209593804898,92.80644960589802,84.29975686295664,80.52632114760225,79.81738501772975,89.77980125260117,91.78132071554819,94.37326804093738,78.53331120033137,79.63215736440011,83.56721866913766,95.05539082654686,97.63024188842488
2021-06-26,91.8276580045504,82.07794171183282,82.68563341369796,91.47796137122029,86.76073675418215,83.48197381437805,91.88796775017647,84.87388498556153,83.79292015129694,87.35499011287769,84.53972837074691,87.01490938362575,86.95246502912768,90.01581117730215,79.37334804756635,92.81984156668929,84.33485880868258,80.59767454182573,79.84154807275664,89.79517332169385,91.85464343111667,94.37788390487177,78.57194274075924,79.6688627974898,83.60149966580025,95.0702479662746,97.64369442410236
