,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
2021-02-19,21.093425483684417,21.836299283462676,21.016111575487937,22.407180773717243,21.86160593986727,20.304178244791903,21.064748381142923,21.669119071276235,19.02144458788676,21.059331158337205,21.379501417189783,22.067657476054798,22.02423757936567,22.019301610915534,24.25008198403129,21.739499444985594,21.100563292710383,21.46338205835883,21.138312295214735,20.316540078211638,21.818489342066197,20.600489037738008,20.710573499381155,20.357920389499018,20.85237752360702,22.50593451652606,20.911765505360638
2021-02-20,21.753047683014476,22.384124401810652,21.44422598573508,22.788932735166913,22.46213871577152,20.743115866441833,21.530310077563215,22.24148044409924,19.51247072519127,21.48558986311648,21.881994681562624,22.472491516869066,22.557268844739898,22.371976068493098,24.907968465894342,22.22538084294481,21.61272683945136,22.0548851205808,21.58362367624773,20.73308015642299,22.226528328898528,20.989821485064564,21.155801806042735,20.714510926622477,21.33272986554501,22.91044438464109,21.56515752899226
2021-02-21,22.429552446535936,22.781777031085,21.83747304129371,23.170365044206722,22.987103593367124,21.093994356057934,21.91816274554558,22.68206737052787,19.877408953388493,21.860163393102685,22.29561709670612,22.8637890464416,22.993031228347657,22.665431492753036,25.19911308497169,22.802342689822353,22.03362638199612,22.480466625723952,21.99315595518251,20.953755254187183,22.580856358293115,21.25116580416762,21.540475247783974,21.011190680259574,21.737523069457062,23.303295755903434,22.200914909533424
2021-02-22,23.072330237645932,23.188073201830335,22.072343985963112,23.980838055107654,23.410063265680268,21.316721535822193,22.276788834056763,23.066095598082285,20.147417648366716,22.131305282880987,22.761361695565757,23.566569764734925,23.381664817332886,23.34059875013904,25.403449708596185,23.27080919279812,22.370279431048136,22.76181986456735,22.210572466359867,21.170295332398535,23.203244352729506,21.492062016902995,21.81733827343035,21.281664049137756,21.994283081052806,23.627205115033796,22.809523737303486
2021-02-23,23.5162889459903,23.40757219383582,22.233268032839117,24.240137249416684,23.778143118763314,21.48276435304557,22.458246995419145,23.284868152932795,20.317770134139618,22.303539629661344,22.989910959365915,23.87931650760883,23.606480524440652,23.62786586016949,25.677665405878223,23.572171634304468,22.573863035273256,23.00226008602608,22.339338734786804,21.578565371504205,23.453893364052416,21.8458320278309,22.001764309872588,21.492220124169215,22.20217836507957,23.885518283950233,23.247816755600383
2021-02-24,23.864460336181764,23.79486273680944,22.55895960670786,24.57934965109252,24.176404301432974,21.818356736138075,22.826272732457543,23.62355074453096,20.63430094643275,22.58319964229523,23.38436264286441,24.231873621521714,23.96265528733331,24.012450982251163,25.90718662584436,23.96432123473699,22.940639365389558,23.28408131169327,22.65622465626693,21.982700391057044,23.831977379678346,22.19960203875881,22.325796726311513,21.906115976644646,22.49400805966991,24.14993365601541,23.54526650115898
2021-02-25,24.4252634527462,24.223409151458863,23.33537698156644,24.951094338995187,24.771187849441972,22.440032151775796,23.947664899178292,24.885529589003433,23.150376065896275,22.945448706793645,24.116709179578365,24.639860290171733,24.626144084547285,24.38944364332874,26.385139240374574,24.44800156479753,24.236290932897514,25.08786949612698,24.119236689573288,22.499240469268425,24.219941076169246,22.688934486085373,23.81503298040519,22.176994626441473,22.86529073678725,24.498891651844993,24.11233862807214
2021-02-26,25.17823482381779,24.83810014393039,24.01117244502439,25.43569694130645,25.56597139745096,23.060206918603743,24.56194324838493,25.5495865034397,23.63837410001595,23.523777756999852,24.729457469615152,25.20004151117982,25.35053220241627,24.952602028772663,27.185139240374586,25.059070241499366,24.89301691757417,25.88169577150436,24.768162630189906,23.21578054747978,24.73178564890185,23.33737072067656,24.520655664742154,23.050425885463607,23.57266443188755,25.08967749047583,24.83207730468235
2021-02-27,25.66020949836336,25.690979109435734,24.74484932468833,26.441497085627038,26.07092146148985,23.786899685139026,25.385239684751397,26.40871590503239,24.296742601404112,24.23803630232984,25.542363196866297,26.107291175522576,26.147263802114356,25.943429969481503,28.167610612202985,25.705454263336158,25.665498236714217,26.703468413400746,25.5438965814405,23.79510544971561,25.621351195717498,24.020050145126515,25.294773293219194,23.72728671995075,24.331814697263976,25.98447559533962,25.32253134918574
2021-02-28,26.63124435086072,26.250332093070256,25.458293243551886,27.0405589538295,27.063966192168497,24.42608114957529,26.012268100048004,27.05257986591388,24.78824273829718,24.994800579850416,26.300756549866197,26.758399281913942,26.911416682185262,26.514972552250587,28.54930014398137,26.530298490312227,26.343510108458172,27.22699631195072,26.217467644998184,24.524050586585474,26.2099556780947,24.673820156054422,26.0309870108652,24.41844868783198,25.033953686467445,26.64254711960167,26.269192308089398
2021-03-01,27.121050770899135,26.758827434041667,25.923204428962308,27.397047688468675,27.365438621546712,24.915089415025488,26.45972332597629,27.537404747915833,25.074683924508435,25.574293314695467,26.884435633340733,27.126274753636494,27.37405785463283,27.02777550743573,28.844181680306882,26.959842843609213,26.7688671670763,27.858466304150934,26.62392347536357,24.911645527926968,26.60082488847141,25.125383921463246,26.521698351125153,24.96780339628688,25.571620435490008,27.190341092253725,26.790296904217517
2021-03-02,27.597555534420582,27.199129095481787,26.19669096997002,27.71351117118374,27.814569212881544,25.185010703970175,26.80003707970958,27.844584942372332,25.572790417198256,25.906572349577925,27.1883597451977,27.55065293785239,27.665681688058864,27.495869067121912,29.122134294837096,27.376155222044954,27.118234142299386,28.187645336755068,26.870341896424843,25.98683541060995,27.05494627615774,26.065358848900065,26.850105083971965,25.27325742546312,25.879559097685373,27.543902399291998,27.274292816972217
