,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,1.0247360908346858e-16,0.03344520112708857,0.04309303166436006,2.084549669782017e-17,0.043101461710064834,0.0,1.4687611191307464e-17,0.09848771228623071,0.01560678180422415,0.01717402293425407,6.292462535807615e-05,0.0,0.03367952534261308,2.1215439816837977e-17,0.08747890482623276,1.990098617539e-17,0.08819747283453178,0.2864660577651632,0.10080522843524693,0.0,2.4437698784470847e-17,0.0,3.231692050196123e-16,0.3678978667768141,3.6790593719674806e-17,0.0,0.0
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,1.0800346584969982e-15,0.0,0.02345110743968725,1.664944174357821e-16,0.05902803982437231,0.0,0.13515839202711263,0.011462816483842805,0.0,1.3325591355439573e-17,3.690738704036403e-17,2.6632126719489298e-17,0.051190841331167254,0.0,0.0,0.2147335520990727,0.007867701458864982,7.297087196642127e-16,8.404938529014971e-16,3.01350459707568e-16,5.654812327997443e-16,1.2704313835554357e-15,0.0,0.0,1.6068118847666607e-16,0.0,2.7520313745703503e-16
GA,0,0,0.0,0.0,0.036609980030185736,2.912246284079033e-16,0.05597334865014002,0.0,0.0,0.026303196991187362,6.781494705625998e-17,0.013764871643879397,5.2871407367290536e-17,2.944943712005367e-17,0.04822930498994955,0.154183316110061,1.3640347532040131e-15,7.542446852196199e-17,0.22651870729080614,7.252634907570221e-17,0.0,0.16585557986901223,8.223738622851252e-16,3.845179138804955e-16,7.94746933142963e-17,5.323161616360705e-16,0.0,1.3515083787402085e-15,7.805125091067963e-16
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,0.0,0.14952951076246943,0.007461164837339647,0.0,0.056078110832679696,2.0482746764416313e-16,1.2034290644447087e-16,0.021274244923614172,9.907270741398589e-17,0.039275159750354185,0.013093286529643476,0.033905970444383954,0.048535591679231584,0.0774354268878457,0.0,0.001718923244776878,0.0,0.0,0.0,0.06444330306319138,0.13534531742106704,1.7361607622405547e-15,0.0,0.0,1.1501096601255362e-16,1.828808569393421e-15,0.0
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,5.773863580466872e-17,1.5419862110267746e-15,2.814859890315491e-17,0.0,0.042464027697575124,0.0630422580646574,0.022995765693939307,0.06159316339867763,8.980582119968994e-17,0.0017564007927386232,0.04051688788184847,0.03209344891571079,0.03405874763001414,1.464381054643447e-17,0.0,0.0,0.0,2.95851667816982e-16,0.0,0.0,1.3268846841374076e-16,0.0,0.0,0.0,0.035098922210407016,0.0,0.0
IA,0,0,0.10294326402672985,1.1180225040034741e-15,0.017779372622915814,0.09253594666865678,0.039276659091621,0.11955012949048713,2.4905500680543318e-18,0.09162271868452002,1.3931997916438732e-17,0.012806377604963757,4.7194416920966446e-17,2.2204717093727966e-16,0.029078633177011395,0.0,0.0,0.0,0.16958139295543528,0.0,2.6834003769016235e-16,0.0,7.088261163531562e-16,2.8305162286365683e-16,6.312735799683687e-16,0.003181532932808137,0.20385399422340986,0.0,0.0
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,1.6664614065658398e-16,0.11096947319834653,0.0,0.0,0.052293972702616154,1.0449942068666528e-16,0.0,0.02248802860060202,4.338841569015428e-17,0.044584920101355174,6.183656068061822e-17,0.02181094768666247,0.047315742199843754,2.6953274289547094e-17,0.0,0.0,0.08014963863309232,0.0,3.163498651405361e-16,1.9189700392771566e-16,0.0,3.7857524012849006e-16,0.5529378722167647,0.26186626939358226,0.0,0.0,0.0
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,2.147851387005145e-16,1.4838797508451296e-15,0.16632169775016875,4.6414607275745846e-17,0.01909803526371356,0.09624119579661994,1.450699205635683e-17,0.05917310864572015,0.010040068742978225,0.026585910310198115,1.1104267387009055e-16,0.0,0.0015288571689127141,0.03637795925408977,1.0178489995293916e-15,0.0,0.024937228470146098,0.0,0.0,1.140443598077205e-16,3.4342235951441163e-16,4.146619514560443e-16,0.38631540427869704,2.614011437862551e-16,0.03552243800721496,6.674040288880582e-16,2.6406421814872847e-16
NE,0,0,0.1905829264872366,1.5322554965287172e-15,0.0,0.17530606404979224,0.04315679969714229,0.08523121876662505,1.78138120962162e-17,0.01651557125188221,1.429791614965259e-17,0.025926397969175504,2.0819414310068716e-17,0.17644655868684,0.0341752256714059,0.07520653623502585,0.0,0.01785419803791193,0.0,2.2055382693786374e-16,1.0914527745140012e-16,0.1144528580215258,3.1382015853252585e-16,0.15300711194837352,1.1826256395929358e-16,2.4391838375492636e-16,0.1376315514886882,0.24586832617164145,0.0
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,0.0,0.24113885145750544,0.07138492634643048,0.0,0.043460424142254754,3.09553608432067e-16,0.0,0.0,1.1679822012984273e-16,0.014786019123775073,1.553772053026408e-17,0.1559589859900157,0.03313876452770098,4.065148841677581e-17,0.0,0.005338750944261334,0.0,0.0,0.0,0.0,6.919024094577403e-17,0.0,6.01732205729455e-16,2.4925807945441747e-16,0.0,4.545543809491846e-16,8.722836122145291e-16
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,0.0,0.0,0.0,1.5313845222319708e-16,0.056174447985545675,0.0,0.018189775986009186,0.0032320288695131113,0.0,2.310347941144292e-18,0.06374243400999888,1.0452501340392782e-16,0.05183492079207873,0.0,1.071517007067424e-15,4.41987311898207e-17,1.8058742435461683e-17,8.881038808007669e-16,0.0,0.0,2.0833955305573568e-16,0.0,2.2011015969485358e-16,6.163960401123214e-16,0.0,0.0,0.0
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,0.1136753448266725,7.127951657734388e-17,0.015305032249401064,0.005799735772609233,0.0569950133885211,0.0,0.1797145297175265,0.007680940285849958,0.17450177819400395,0.018728769055858695,0.03440257696912856,0.0,0.051220772316639275,0.04986746410674319,0.0,0.09343246138870544,0.0,5.909850516946924e-16,8.330060816477691e-16,4.3366644012737806e-17,0.05430137949876866,6.006787215658816e-16,3.9630582359294843e-16,6.735605996566196e-17,0.0,1.1361291270403981e-15,0.029088652749146866
RI,0,0,1.742065750441059e-16,2.2098750780685794e-16,8.9721626747917e-18,1.0336337119856961e-16,0.056597664657626306,0.0,2.6376605445132495e-18,0.053184486306542225,0.0,0.03435985516694904,0.0935910281103541,0.0,0.05048250292448535,0.0,5.743018907655717e-16,0.10828554631800846,2.0296441028306163e-16,1.9371304690526947e-16,4.910080588643728e-17,1.6741413964984033e-16,0.0,1.9840907522412305e-18,0.0,0.0,4.7678765323162385e-17,0.0,1.476137475853846e-16
SC,0,0,2.6373080506802934e-16,0.0249036774692006,0.009229404028455433,0.0007852871618689362,0.004188353760640433,0.0506205630587671,0.1395049798313192,1.1866632069963504e-18,0.08161316008094056,0.02666211805291129,0.041357883339827206,3.581130862331129e-16,1.0730106432958199e-17,0.0,3.198396408832238e-16,0.1430023286602438,3.624349206072308e-16,6.889223891880236e-16,6.719342963978914e-16,1.0940956545788723e-16,1.518665301606166e-16,0.1196786781993252,0.0,0.0,0.006861952073593846,0.031642188903393646,8.062171377200449e-16
SD,0,0,0.0,0.00018581523810106413,0.02063900995520375,0.0,0.05167801594882436,0.0,3.3955244399206863e-17,0.05584492140122249,2.716192603108107e-18,0.02133968215480129,6.562507339631618e-18,0.0,0.044144780570342886,0.0,7.253312533928025e-17,0.06269181152893594,0.023646280760654302,0.0,0.0,2.091880743693575e-16,0.0,0.0,1.1569149997530497e-16,4.7352529883304406e-17,1.866968103805989e-16,2.0920372604039112e-16,0.0
TN,0,0,0.0,9.3363359578158e-16,0.2770174925146123,0.0,0.0,0.36812665204493983,3.6006543202447127e-17,0.07796387306893676,0.04032463595131077,0.02573077044794673,9.540824132097537e-17,2.7580974111355074e-17,2.0281746144596144e-17,0.0,8.031769693772617e-16,0.0,0.07688132157781907,1.1885566315872342e-16,0.0,0.0,0.0,0.0,0.0,0.367054330896794,0.15370839038783374,0.0,0.0
TX,0,0,0.0,0.0,0.017919653390851213,0.0,0.05355601100137533,8.819891703588397e-18,0.02033152183871076,0.04618244075858751,1.9048076917854706e-17,3.6857922603902666e-19,8.595592323199978e-18,5.973477855581082e-17,0.04716691285167735,3.682906454233894e-17,8.393893219382775e-16,1.485541220456503e-16,0.0,3.8577268549749855e-17,0.2665610785190839,1.150930686470286e-16,0.0,0.0,3.8098298275667025e-17,2.5451645999097217e-16,1.073337612929246e-16,0.0,0.0
UT,0,0,3.016794512840286e-16,0.07602575103102008,0.08215043138259205,1.260726963432379e-16,0.05843797044117129,1.7367123437798238e-17,9.278133700806213e-17,0.05968536365468772,0.0,0.00666417301209045,2.7906578632170336e-17,0.04027682300765899,0.05097881555160148,0.029121012771717268,0.0,2.557004907990584e-16,0.07666562956787343,0.0,0.0,2.973075452732265e-17,0.016022133881362758,4.065966458606188e-16,0.0,5.954980432376633e-16,7.525623399271648e-18,0.0,2.677779329660071e-16
VT,0,0,0.09755120857058237,3.2004225116420704e-15,1.4087851978733523e-17,0.1288312430555804,0.04560981776600886,5.005788975158926e-17,0.02609969307874785,0.07921026812674024,8.448306615914392e-18,0.02387159820671357,0.02913158489429554,0.0,0.03680442416654185,0.1172133364444576,0.0,0.16977691319568144,4.1607465415704293e-17,9.11956328595448e-16,0.0,0.15259861933106444,0.14052728095106976,0.5012226102120864,2.598097221915643e-16,1.622237500581436e-16,9.379107365472004e-17,0.5739180876476091,0.672796092527912
VA,0,0,0.09762587207660957,1.0769583467205857e-15,0.0,0.13385008579443924,0.05155313126537667,0.211190723521276,0.10957269707320968,0.03622953988692332,0.0,0.0072307051029532245,1.9267746409852634e-17,0.3611987298637689,0.04538842380036014,0.13400207463648373,3.645087703896266e-16,5.819473628476166e-16,0.22555462645077645,0.0,7.863582831765803e-16,0.08927738786364676,0.10882281883614815,9.809942261707014e-16,1.0809958155182558e-16,0.0,0.04533727581055616,9.130827871144637e-16,2.7191184007722266e-16
