,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,7.822739047620512e-17,0.07761880516232848,0.07798314563920326,2.2489523509816265e-17,4.26874460370317e-16,0.0212616486377422,0.0,0.06317931682559132,0.0,0.011468059190742102,0.0,9.779995402540342e-17,0.058980412068318146,0.0,0.0932742778072048,6.626363170398122e-17,0.10482269074523572,0.11967781475359547,0.22322285529895278,1.9690745376369307e-16,4.2909649457169966e-16,3.2095124631077403e-15,0.07834329872716558,0.271960618858937,0.07326800344395543,0.0,3.0665968822775104e-15
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.02796311637086768,0.0,0.001870956573136478,0.0,0.0,0.0,0.2397127922571338,0.1105117425733291,0.01898190225055774,0.018295898996383043,1.3315307852121661e-17,0.08184602336967221,0.05925208988960669,4.7990044401399485e-17,1.3467485048164474e-15,0.1751163167956661,0.042168089610950005,5.361792114359113e-17,0.0,0.0,0.240092475178924,1.1404737135268718e-15,0.0,0.0,0.013417444305510891,2.617055254284319e-16,5.066665029402765e-16
GA,0,0,0.0,0.015475627444853049,8.923004307760557e-17,0.0,3.589940180377038e-16,1.180604714670002e-17,0.0,0.06452351713526246,0.16679577674847149,0.021005679374147653,1.3978039679629271e-16,2.3213493548246263e-18,0.059511707479761845,0.11763573673821767,0.0,0.0,0.12794351615041724,0.0,0.0,0.09103330915102181,0.0,2.8099384169399915e-15,0.0,0.0,0.022529476550379426,8.074738033947134e-16,0.0
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,0.0,0.04708038275103503,0.030320969689642294,2.911013056334487e-17,0.20077928679259122,2.7595724120998346e-18,2.3336628111746084e-17,0.13949573783909483,0.048993418919388125,0.026052994271528997,0.010800273313010563,0.014383317704590568,1.4340831843233549e-05,0.14044090321953676,0.0,0.0042257286120390295,4.178794693631728e-17,2.241095051057737e-17,0.0,0.15964571680600295,1.7639616545326167e-16,0.0,7.856399992373087e-17,5.692603506635141e-16,0.0,0.0004239808720824192,0.0
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.0,0.0,1.0086612810171886e-17,0.09763699225464116,2.7273020211169565e-16,0.035422424246845774,0.002349582564809034,2.7701145858280723e-17,0.0,0.018015442440272113,0.08307538785294974,0.10473688861031176,0.05863899148622203,0.0,6.425659700506903e-16,0.0,2.7940440556367165e-16,4.4597220515601406e-17,4.059117408514168e-16,0.0,0.0,0.0,8.670906874452822e-17,1.2435798918408736e-16,0.0330637911980097,0.0,0.0
IA,0,0,4.1111045763223656e-16,6.021121752530087e-18,4.792917640520153e-17,0.0,1.8104054095630465e-16,0.13692716100074376,0.03505575677603997,1.3289590281890954e-16,0.0,0.01744720291497819,2.515942786921327e-16,1.1302198747811957e-17,0.05876674976579986,0.0,0.0,0.0,0.08737559053649147,0.053631055480429325,0.0,0.0,0.0,2.046651791444868e-15,0.0,0.026978228155226335,0.09149574889333813,0.0,1.9290256996866862e-15
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,0.0,0.12669916820825347,0.13265791304782062,0.0,8.671649957954569e-16,5.8825437810853956e-05,5.548229704458082e-17,0.048371146008627235,0.0,0.01953298896661934,0.0,1.6283581282438125e-16,0.059159691752855584,3.07640643454561e-17,0.0,0.0,0.0,0.10747086233945861,4.690529648715414e-16,1.1624320923588756e-16,2.640235625651433e-17,4.889716433410121e-16,0.35486865880390034,0.4155372176331354,0.07306082556704747,0.0,0.0
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,5.980400549768648e-16,0.028342960378687755,0.22989571632723152,6.188048662481702e-17,4.901303587607798e-16,0.08827245083302529,3.487006105050723e-17,0.0010833773841917413,0.0,0.022472361027571552,0.0,2.6071433597584596e-17,0.058138898006417104,2.2617046045457458e-17,0.0,5.719680581872717e-17,0.030135043542252538,0.0319129036804631,0.0,0.0,1.2679692166817516e-16,0.0,0.18765035097340088,3.893912102481689e-16,0.07223935014242339,1.6747387774164863e-18,3.4826872676185397e-15
NE,0,0,0.3223377935337171,0.0,5.491789600982878e-17,0.15112808410750264,0.10727735069230004,1.242123344415687e-17,0.0,6.680822100988259e-17,3.4274268609072503e-17,0.02790016071681839,9.30561346824862e-17,0.06246536862199855,0.05854038647686182,0.033424578124517004,4.378862181707299e-15,0.10534551654319226,1.514605023973832e-16,2.523360441070332e-17,0.0,0.04485781182188756,0.0,0.16984808154089068,0.0,0.0,0.003087071070774935,0.2861413393721851,4.82577015456723e-16
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,0.0,0.03984612318674381,0.11907706301636253,6.027306700390454e-17,0.0,4.431661504652493e-17,0.00544241102797664,0.0,0.041719392857954014,0.013244162725962946,2.729955336093657e-16,0.060100339080130696,0.0,0.0,0.0,0.0,0.0,0.014362070327608535,6.567554659830943e-17,1.47983872430593e-16,0.0,1.6297004878440003e-15,0.009935979939695585,1.376394657970348e-16,2.1998132526496356e-18,0.0,0.0
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,0.0,1.4508051690436596e-17,1.4926841937201434e-17,0.0,4.830737667116312e-16,6.109095841332705e-19,0.0,0.0006637813179746413,0.0,0.016531498024875118,0.08169809341535095,0.11553411809317884,0.05928214902109815,1.0954988215105886e-16,0.0,0.0,0.0,1.8233714518882226e-17,4.9073700832125144e-17,0.0,0.0,0.0,1.587000929975657e-17,0.0,0.0293888038201096,9.936455706079979e-17,1.6249315262130105e-16
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,0.0862817365265593,1.2458776832807278e-17,1.4458903694529315e-17,1.5641970629957876e-17,0.2302396486176728,3.025873670042505e-17,0.2366406242229597,0.042354647299458884,0.09692196432546647,0.023981255693960212,0.017946897380856808,0.16199192330395934,1.9397054492123478e-19,0.09771367083602735,0.0,0.039228272836275085,0.0,1.4319440562878433e-17,1.0879020123991112e-15,4.0782798060382907e-16,0.09957733848584994,0.0,0.0,1.7875783318854754e-16,7.624066608193149e-17,8.520358213364019e-16,4.4669233014706e-16
RI,0,0,0.0,0.04854129108023078,2.1894006926752943e-18,0.07975942937910092,2.5540714824027567e-16,6.330543489054574e-17,0.0,0.09129961528001922,0.007077439635109528,0.020830018321827733,0.09505592212728141,1.5643696278806523e-17,0.0,0.0,7.387956891223568e-16,0.07566309847469448,0.0,0.006771086879143963,0.0,2.809880828451591e-16,0.0,0.0,0.0,0.0,1.5927508492379524e-17,5.953350585696061e-16,0.0
SC,0,0,1.338226720268642e-15,0.01393968768835391,7.740378026156021e-18,0.0010088668846487444,0.10268802402394679,0.16888640949395275,0.0006774847271645775,0.09628565772927415,0.0,0.02367772276627609,0.014605777562415139,3.563225127390373e-18,0.0,0.0,1.149301736679681e-15,0.09824323560983055,5.555922035101451e-16,0.0,5.984524941576863e-16,0.0,0.0,0.03417338678078255,2.1873778829895052e-17,1.5338750235238674e-16,2.021340421761565e-17,1.7680418524136547e-17,1.4154878737909831e-16
SD,0,0,0.0,0.06451753532282756,5.835342444542393e-17,1.1288191657479193e-16,3.78342599862043e-16,1.0837004796798886e-17,2.4567728258283146e-16,0.0289552007574822,0.004132464664485572,0.01740461784958367,0.0,2.3042892135798938e-17,0.05910440011204631,0.0,0.0,0.127023111923318,0.06742925450501633,0.05940686204099433,0.0,1.2148422636808334e-16,3.496945969081169e-16,0.0,0.0,2.174909558005922e-16,0.04191784278126201,8.824321427635733e-17,4.21221091611879e-16
TN,0,0,1.1861010333233567e-15,0.028239308960188537,0.26586720810751424,6.729908699319734e-18,7.717758008129295e-16,0.34984550103609013,0.0,0.0,7.466813378708412e-17,0.01908601208894726,0.0,3.780233596123605e-18,0.057466665698854925,2.0264943402251888e-18,0.0,6.395409321060823e-17,0.19313505043694992,0.06373717465499569,0.0,4.1493442953551e-17,1.4182155866080322e-16,0.0,0.0747364701734589,0.2855239353527011,0.10565010208861443,1.134157737449037e-16,3.4533068680332367e-15
TX,0,0,0.0,1.5071313950468053e-17,8.701983958678006e-18,0.0,0.0,1.4353550705030777e-17,0.14760130256728002,0.06648133246140178,0.0,0.015642525703398927,0.0,0.09615147825214851,0.05936445719823709,8.674728355619283e-17,0.0,0.0,0.04689121000180573,0.01768826905759954,3.8573202791603034e-16,1.4768393774681769e-16,0.0,2.4110337232627707e-15,0.033808296634004385,5.095750210681871e-17,0.07876000752672598,1.8822837175154914e-16,1.4122486173425967e-15
UT,0,0,4.631779539380276e-16,0.0,2.549312878942165e-17,1.0329184052488558e-16,0.02192984165907065,4.549948337479532e-17,0.019240736412405472,0.0888122469029203,0.07813248538280608,0.01973752641690295,0.0,0.007341140841283766,0.059568978489559866,0.009864359211031569,0.0,0.0,0.29596487644528885,2.4310560490070675e-17,0.0,0.0,0.13321553033336944,4.474827937787819e-15,0.0,3.7594710330934866e-16,0.04001236873945167,1.6790451502057054e-16,0.0
VT,0,0,0.5552709192476409,0.03110625909033471,1.4080652307455183e-17,0.12969904847110444,0.0542167553804608,7.686372615415938e-18,5.013898132088211e-17,6.115072195086838e-17,1.6097510475337866e-16,0.029104783214350293,0.06600546296293529,0.0061787617956490445,0.05835640289346256,0.07920238649400234,1.0049063360953459e-15,0.18575635579549318,3.0784268973478753e-16,1.2426020317510394e-17,0.0,0.14891529184235455,0.0,0.5262986190032718,2.1438742708185243e-16,0.0,3.094555412953829e-17,0.5495930054301225,1.6346128004552402e-15
VA,0,0,5.922252252189534e-16,7.784928071106908e-18,4.728656433962976e-17,7.930614745173148e-17,0.1257913034411059,0.13866876966297842,0.12526663688921458,1.5311890263339216e-17,8.866699583328831e-17,0.02475367638460314,0.0,0.1670273390623467,0.05926651225136563,0.08816509255584626,5.1189114795915924e-15,1.5287871666084393e-16,7.585772965725338e-17,0.0,0.0,0.013699285020614184,0.02405710307007562,0.0,1.2874185391902445e-16,0.0,0.010669998892450308,4.635906300791085e-16,1.0419989270628564e-15
