,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
2021-02-19,21.2546589178157,21.435182137589187,21.054719678083423,22.60202373369256,21.5319385123698,22.091679662818272,21.101317431514545,21.495797039483577,20.114703875317772,20.6934625520307,21.537664440017814,21.984626725375875,20.6072221832814,22.069135909492545,21.714916845713297,22.761084619115422,21.045422252592285,22.970857571671683,18.87445089856984,20.65754229855047,22.072989235885668,20.608592037544227,21.6639313013782,22.118476502399666,20.455440422195828,21.763047142700795,22.11165786855605
2021-02-20,21.92565011283312,21.935042480132953,21.474029258364297,22.913355352736865,22.120126961307143,22.71055135864544,21.57427901802947,22.09256404503698,20.635394752726572,21.136962470230433,22.116399502112493,22.356323458312577,21.04326884087014,22.480201659087264,22.13680458021742,23.330058227795174,21.558688320041316,23.60903907465761,19.287136457163236,21.077973287039065,22.326118308852518,20.997161883640988,22.078496349530507,22.558200129712297,20.94333517037068,22.192874399907236,22.60209207376901
2021-02-21,22.606114209985734,22.331526067643384,21.853976455488777,23.236517477663536,22.626154575937015,23.18058698292518,21.970148759915972,22.529434048669287,21.037417246365177,21.51311069718751,22.55086836156601,22.67054066494333,21.45540495127763,22.843756012762032,22.482449185123805,23.87746042493964,21.973367811468172,24.05808134143578,19.611137892533137,21.30861976977196,22.600291025028408,21.258878079365495,22.47400807863234,22.94737138291961,21.325408444149495,22.67472140118095,22.974609903229037
2021-02-22,23.23611118204717,22.754894057529455,22.102304780831858,24.06823902353124,23.05660113778634,23.490518384429706,22.321402329546547,22.927093226269797,21.32957412825427,21.79916455394286,23.004968313139578,23.321547428998088,21.818295788084203,23.599312223980252,22.802707133500448,24.259439818051117,22.297659292036865,24.40020904061131,19.802659514227752,21.518835264016257,23.427406245563173,21.5000222098485,22.725325133656703,23.24710000749042,21.586329008596813,23.151131332220327,23.439574284715455
2021-02-23,23.69943774701604,22.9766677457668,22.255510320496224,24.28685545693393,23.341832027946154,23.757110468822617,22.490198780303604,23.139257347906653,21.498228636220194,22.0098315097147,23.26725973910502,23.61729701594489,22.026513770766872,23.869926718570525,22.973038574061995,24.55402461188489,22.493930685903482,24.662949616485452,19.94854474986648,21.87797328703907,23.674966258920485,21.853163002413876,22.952262014999597,23.476984081133736,21.80299406363313,23.49771400605327,23.625614123698625
2021-02-24,24.022199965818178,23.34678832683343,22.576309374613476,24.641070090640497,23.713908535603867,24.059376580850003,22.866492326882522,23.43584956268603,21.843066429343562,22.327733285787662,23.682232374823254,23.995874541248366,22.405152871823034,24.26267752418577,23.38784418071069,24.909180925297825,22.854489794045946,24.97086584914341,20.176756316363587,22.26775779279477,24.003707314764377,22.206303794979256,23.21135300503986,23.882004157643635,22.10892210880844,23.742975726868824,23.968834861701673
2021-02-25,24.609407810481407,23.755975324735072,23.170692771335816,24.946380061763243,24.250190022281007,24.56010321644836,24.013769607803916,24.63820004407953,23.75218053361282,23.110575761662666,24.21949438001771,24.39133725384112,23.948902635481986,24.635292683912734,24.028567035835497,25.433719010946078,24.29145819705047,25.496997775187893,23.372799606574556,22.747326804306187,24.283209006067505,22.694873641076025,23.49369864556045,24.19690003844391,23.756647011654763,24.097714006053266,24.367412040807412
2021-02-26,25.397154177295807,24.36281910759399,23.791706741352957,25.36184712076253,24.915996095829964,25.37443601779057,24.617810203266,25.294733316361445,24.26861500249443,23.768698398880314,24.888830183882767,24.93831003735188,24.584872033994984,25.184742899503398,25.015100661859382,26.116200175871224,24.95085051644313,26.276166476973216,24.01872421758224,23.4268958158176,24.660888710504068,23.34229935668979,24.28599017432183,25.08601557792649,24.45209067790661,24.65245228523771,24.92337726238904
2021-02-27,25.87515342652444,25.164394568810202,24.519984923833828,26.494000564964782,25.53467838677584,26.11600231745285,25.45499176869578,26.17697817254849,24.95323228803839,24.46326201430108,25.72467046927466,25.860493066556714,25.331265310950474,26.125186724772615,25.95869047520333,26.87515422315076,25.73261854246993,27.111083981389964,24.764791768880183,24.047326804306195,25.841865077548245,24.02687586022077,25.054723662146422,25.85109464025591,25.22224299140598,25.48280037745005,25.76104531508871
2021-02-28,26.882901961501076,25.72692925892363,25.190741513042525,26.992364109562235,26.342871902592734,26.902067693760124,26.06626938893531,26.784369021769,25.438501683305105,25.25140280750708,26.559152235396137,26.474055564620997,26.020888079865916,26.718933545090906,26.732136442789876,27.642452873928654,26.3993150448877,27.735077911445206,25.407982413631807,24.7371113100619,26.260077648590244,24.680016652786147,25.760561454660113,26.55919232803601,25.858928316615746,26.192276935818935,26.41349484361773
