,MA,AL,AR,DE,IL,ME,MO,WV,HI,NM,CA,CO,CT,WA,AK,OH,MN,MD,LA,NV,NC,NJ,NY,KY,KS,MI,OR
2021-02-19,13.275141903593369,12.693624541471676,12.14522775490649,13.306218233049712,13.153108611751383,13.371374690171578,12.949683961769793,13.902531123458058,13.735118728927738,13.055423962995075,13.502981724449592,13.023915844887789,13.13495995150196,12.920042261864076,13.850861487890084,12.482056342579321,13.546471524056905,12.999449005591817,13.01636218866198,12.075946433217931,12.267866794826073,13.37040800652359,13.350505686624588,13.108852766845846,12.656334789534789,13.140506870460753,13.336613020428462
2021-02-20,13.575141903593371,12.94418926659192,12.486498641185369,13.687555036188956,13.472008672362838,13.705102953201413,13.25380701371483,14.22093595470315,14.0391896908905,13.389912783005277,13.828414287135432,13.382803486003402,13.512964415922573,13.33261612754993,14.202930827359324,12.795420070046063,13.910936347796905,13.404978780189822,13.203336369866376,12.339848303487912,12.580843680180832,13.735320597760492,13.774574561198488,13.450870622263713,12.94693443586557,13.475412731504617,13.646010725089845
2021-02-21,14.036158932024568,13.177462330773707,12.661313096647843,14.023193875208191,13.752156065532132,14.163902158791208,13.543609341506993,14.506562408410796,14.317456753268184,13.673484805978777,14.068010283011178,13.6735821540418,13.806546610589436,13.706605170870489,14.473822883574474,13.052756995217244,14.212506762958075,13.79932212711241,13.442330007167461,12.577475395654252,12.836061231741128,13.907697758485819,14.090209383889427,13.737594749478921,13.18369593414033,13.785546331096729,13.948726494165445
2021-02-22,14.39717596045576,13.341162780852768,12.751675272593006,14.288946695655893,13.956905536089318,14.522701364381003,13.657930065659867,14.650528458248957,14.543690595208012,13.898291273632116,14.276967954010978,13.893374257400838,14.036467480096121,13.969411355171868,14.695720930459112,13.216899135585718,14.487842440167388,14.079667479806268,13.590044680065402,12.735631510623886,12.994407617575575,14.154842268462934,14.374407711115039,13.946993631180268,13.376247383945294,14.081729876817498,14.149899890552163
2021-02-23,14.658192988886952,13.385445752150295,12.823736923280768,14.476145803166414,14.084731351718906,14.81522883300063,13.687541009684345,14.76866134455433,14.656427816949794,14.035510010385053,14.4181075302656,14.111854937839674,14.22405959365263,14.244426766895154,14.824510746569795,13.295686031680187,14.676727304174788,14.365542607098126,13.668315866621151,12.84079188955211,13.099730511340471,14.326700315329626,14.540907474157905,14.095226345491904,13.480962418274757,14.24704416914986,14.263501278083172
2021-02-24,14.771187312743223,13.623756931999312,13.056813934149902,14.78247255459461,14.312090249534846,14.948957096030462,13.86108362188617,14.94024072451495,14.871888935689974,14.238616484007347,14.585123254867023,14.264306480510033,14.40930046720474,14.393779633913946,15.086201808238611,13.529216152726287,14.87446169399908,14.525179613032083,13.9595948310243,13.101157811906022,13.36441738032727,14.533113433396037,14.777905992840706,14.335584870619154,13.677204322184584,14.508114989855425,14.474424402000192
2021-02-25,14.971187312743227,13.843459287670544,13.308893538054049,15.116996229814898,14.612598381810574,15.175212827679923,14.11933601421639,15.216694507352667,15.159047224333351,14.549729190880122,14.919109524160897,14.540808093416423,14.746879191297191,14.694010323398047,15.410408021462525,13.73493926057004,15.202792990918871,14.830582509150679,14.077018861269817,13.405714033308158,13.660294610140234,14.909367764121564,15.125733101412546,14.65039899171587,13.947816526162761,14.855378190501469,14.716890801155271
2021-02-26,15.384181636599498,14.322927325653085,13.610482485119185,15.525971363029482,14.974296466072628,15.585244117399188,14.407199350571089,15.662124933567627,15.572952578117706,14.903448786002253,15.265944367724897,14.945551113286976,15.11702855818061,15.129926099423253,15.831429790864599,14.18318534898227,15.60757400243832,15.290092636605218,14.689938015448773,13.651991178088196,14.086553600694893,15.195103498543101,15.492198453834254,15.021187970682195,14.282828538412048,15.225561822661327,15.15224330025461
2021-02-27,15.884181636599504,14.862234320377924,13.991466370100106,15.99336157259037,15.407242306397752,16.0252601227199,14.694093191207049,16.145160620625823,16.108581543766142,15.342663543108593,15.636047359589696,15.309760273259052,15.43711572224849,15.454505792228396,16.304199394032388,14.663647095794195,16.011653598646205,15.609105347335019,15.333377601389085,14.011787145718854,14.491829471367762,15.557800522876127,15.948507514238694,15.45220931866532,14.712684260429711,15.696873832706245,15.56446866469746
2021-02-28,16.332204341174428,15.345549098391471,14.170811420383835,16.426328289113567,15.822860267833256,16.519066970508973,14.841178415610697,16.5597884985583,16.551371678271778,15.723438107124307,16.015353180252024,15.767864672714232,15.855562299473965,15.964949455825575,16.774010351365163,15.202794613985901,16.481272652660735,16.152668087571904,15.79410005213443,14.370060398162986,14.968983101478921,15.941715670956835,16.383159935433074,15.874098083458618,15.073240009491135,16.147125877375217,16.05627734578186
2021-03-01,16.797175960455778,15.624419227550797,14.45674878384838,16.854768027323676,16.102623386576106,16.892811238859515,14.91472102781252,16.941311672262447,16.85897787862901,16.022787865705315,16.23363433515566,16.09215425156403,16.13553011938893,16.2674605224672,17.003560770587836,15.554020534443652,16.778500362465618,16.435216590213518,16.09383418112907,14.585098120114818,15.236901388397918,16.27923100713396,16.784688699214584,16.206831518213612,15.343421482212081,16.53439428514966,16.32943557974107
2021-03-02,17.07118731274324,15.748849736515055,14.69437614028478,17.03424257983955,16.313137362466748,17.241484564650094,15.000400303659655,17.131687971019783,17.027654839047365,16.20567499473585,16.43582610390803,16.302368887427534,16.334383219719015,16.503874885536188,17.230321220142592,15.709984997453482,16.98029601688178,16.68932382154947,16.24156689497524,14.819021331075133,15.402320685325906,16.50240378935637,16.972108399338307,16.439690757732603,15.561217845347747,16.793423903743346,16.494911888875894
2021-03-03,17.29717596045578,16.043013789987956,15.038524735316546,17.334979831345112,16.617784697838015,17.4826853590603,15.158652695989876,17.43769438018979,17.30190253379376,16.46755176117651,16.69926337597908,16.572667972328688,16.562155661459776,16.74009881632871,17.4966343004904,16.02171496970969,17.33236386488265,16.933140318745174,16.49385222207732,15.110418855699452,15.713929131522058,16.974831438408685,17.35661887648211,16.697756168036452,15.85425435099819,17.131851379989833,16.793913816208327
2021-03-04,17.523164608168322,16.387593905050245,15.273794594213765,17.7292008610361,16.948852556101397,17.708941090709757,15.402584364167229,17.77917570863994,17.64593158289993,16.793246648173557,17.066250246525247,16.9167911787578,16.94520008383652,17.06342450037906,17.805087503342996,16.34160231117898,17.688040022104303,17.26653920332123,16.854592713770888,15.408224147614922,16.03844006877388,17.386264689978315,17.72989972936441,17.05416487944551,16.167147165660086,17.492483054826042,17.103039143998167
2021-03-05,18.010170284312057,16.880463772293716,15.786957603720202,18.20334942509169,17.45122989105596,18.18524411739919,15.745546536625845,18.26121703569817,18.17426039789493,17.307818331820382,17.583796647752653,17.42426603157696,17.432066238282548,17.599283792907638,18.289076771491747,16.725221803599997,18.17304453477969,17.810355700516933,17.406771376256284,15.926483989526911,16.462824570761764,17.95002109400745,18.218075281953425,17.520309812955617,16.678007113355502,17.96999239380498,17.497135434966268
2021-03-06,18.597175960455797,17.394616009893603,16.26769022538097,18.83458735763929,18.019457076386296,18.716508212170083,16.147730597133414,18.732730018162005,18.761177565492872,17.875623294726935,18.044617715627666,17.870861219758257,17.872691869114604,18.036206661914534,18.726652927494587,17.255577454771515,18.72157683780179,18.22949528972614,17.963414028329133,16.540988599832705,16.951982232757963,18.53310244660695,18.891703631335226,17.902799865078357,17.194895780074454,18.57724096216197,17.9680218536862
2021-03-07,19.271187312743262,17.954929121790936,16.565060884809483,19.392247654664818,18.48238408676695,19.342858533899488,16.490692769592034,19.165454632486625,19.25904242691647,18.319478736801717,18.338159536740918,18.435641226272452,18.301108184594284,18.661504568355088,19.327012655458518,17.79144736210898,19.15839927507885,18.85573341108405,18.701964547287933,16.996374444965976,17.445287110453332,18.856458252991356,19.32967321365865,18.41003884942901,17.62167698991554,19.01101460440619,18.464610806772352
2021-03-08,19.832204341174457,18.174366999588187,16.73421503715828,19.812473989122157,18.80506728532031,19.91168902920855,16.620303713616515,19.702120579737986,19.610434355915825,18.683241794821402,18.77610377219288,18.89917411345437,18.82585284369165,19.23463038636791,19.68409296365667,18.141350496438392,19.628193648977,19.455479654125227,18.949590596517425,17.207383224944277,17.804737633515504,19.293734781248837,19.757674081556782,18.915617261320563,17.90452692364918,19.412947458088272,18.809538961617655
2021-03-09,20.38022704574938,18.2877876014367,17.122991004314542,20.081200809501066,19.135120380218154,20.464295082587412,16.76617437323133,19.931519804894197,19.93925445066485,19.019355491018487,19.270362252844926,19.336938646343906,19.241085364304116,19.709892713864296,19.93184046541406,18.372533480836488,20.016077933982533,19.967339145816165,19.05840025578276,17.569773589093373,18.043258854894926,19.823175396263235,20.016041385617363,19.173544824767532,18.29916967108889,19.75623241858363,19.12672752183711
