,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
2021-02-19,21.963350418234647,21.57600098223528,20.90110675564947,22.093299041786743,22.135942193473504,22.26177836112705,18.67525064556567,21.1611141053506,21.229614867341873,21.163929979908584,21.41707015160383,22.1525088205684,20.423638298817888,22.07621315350703,24.133154851519947,22.030562333683772,19.39091374299142,22.456306558186533,20.030879815289303,21.300553190838365,22.31463617012189,20.896958972918977,22.515043296170187,21.006781022633692,20.638954736660235,21.352268298932167,21.647937581594558
2021-02-20,22.616018049767167,22.055169007055675,21.34549641062117,22.554089582500314,22.630820619502337,22.896261515140388,18.89701552934542,21.682408446666237,21.7138679927534,21.596155598196393,22.003359877439827,22.486458753803216,20.848429769609094,22.484236595074137,24.780178220815067,22.34279332873643,19.89515285118933,23.055363769982453,20.482525675296646,21.856936380431264,22.592200896303424,21.391346464793536,22.961113024536886,21.39596678898187,21.149641365607213,21.97529947055803,22.102012695817038
2021-02-21,23.24124933690733,22.443785500331074,21.686113115319724,23.013623806442652,23.06738818734231,23.351530084352657,19.222680584453997,22.11801612858132,22.13501786885834,21.96844192432685,22.41566471694074,22.803266692349005,21.23797262098515,22.844312582883923,25.07975742676271,22.643887785650826,20.25175509820631,23.499099970304005,20.832628380992826,22.315876617806403,22.840484990453973,21.767487162239895,23.40045998314434,21.735959689734546,21.55972800590988,22.672193752128216,22.591768823386307
2021-02-22,23.840146808281236,22.90907730972132,21.891934109834676,23.486932775240714,23.418151535441233,23.63639260299663,19.31347545375388,22.46583688502833,22.38688488453782,22.236616600951226,22.847686677823926,23.390960421821756,21.620470310140828,23.601132689206015,25.294101461043322,23.249943292698024,20.585919681211966,23.790563034775975,21.034201908428113,22.714678121378522,23.390708024195554,22.11662591048579,23.623710325940035,22.006569638442414,21.899771239398543,23.354798510638307,23.427952616491044
2021-02-23,24.24795321209785,23.09943862430764,22.078981797973448,23.75846281758977,23.728123940694747,23.879121059362564,19.48494403264286,22.665651878969946,22.521691369779976,22.427408853860662,23.098555295569433,23.615358546239033,21.809085812878642,23.871941303535973,25.56645910056895,23.46551500787896,20.802541241825736,24.05424087819476,21.183507507923178,23.09474385979591,23.623360278189374,22.495448095124424,23.837302132918328,22.22798672155478,22.117055510309914,23.771969543127348,23.723798613659213
2021-02-24,24.46713968910876,23.487227710741756,22.396910308384086,24.05522176091195,24.089758933968124,24.1502410310982,19.808307440163514,23.036197289992078,22.898521813656004,22.71796726930062,23.446594455164668,23.940606049238717,22.19980568069158,24.265923707516592,25.80655819913242,23.82809985070241,21.08113331627221,24.340602854314753,21.4380152936304,23.483194049702817,23.948352320455264,22.851490921269612,24.079826165581625,22.609410903914476,22.50167385691684,24.00795206054011,24.00496625607054
2021-02-25,24.924040055080212,23.852949434889965,23.276498484126645,24.46577113601737,24.57466391378824,24.60608278181859,22.465423137675998,24.33364608152632,24.178955232471047,23.195512194466318,23.970283841502308,24.260911272210667,23.953872842780342,24.637069760785582,26.291372576747122,24.125530371090026,24.66768911030361,24.91492294538557,23.99455105912118,24.071685814909863,24.236672952978726,23.3441385856714,24.400328658377074,22.90211410416136,23.069931057126727,24.464133262711105,24.341373231057542
2021-02-26,25.610847906195602,24.381042232162642,23.939327458453413,25.04933201450824,25.259568893608353,25.392337743209023,22.905812002194725,24.995105028828537,24.787341664433377,23.817841622892995,24.621259251497698,24.716431861111083,24.521802350178284,25.18529384639917,27.091372576747148,24.59129863119793,25.310216968343152,25.73187306994176,24.65525038789933,24.813240512533127,24.662361219003927,24.036786250073188,25.15558550189872,23.760628686560423,23.754731322356246,25.119963167159295,24.782155419309053
2021-02-27,26.30238243731773,25.203931502467256,24.629866439976247,25.893652170149885,25.92722470077383,26.230344035955486,23.512181823970245,25.76494448211267,25.57486213622529,24.552586378718082,25.453347732432732,25.72300235002145,25.30896433848522,26.13037700127064,28.062263714133646,25.619191057089253,25.972085052873354,26.5883412460462,25.431472688432812,25.343608712932486,25.752973983411707,24.63593206491151,25.95083161222012,24.45224507013921,24.369718874174712,25.75240299495646,25.688752141995128
2021-02-28,27.08094042105167,25.713144980938946,25.23147141621623,26.595284914082324,26.773764673867312,26.953964328495555,24.20497711436185,26.44965780116378,26.180775222085995,25.323785285942474,26.228735716057944,26.240393558719084,25.93955448597429,26.721770605082366,28.45953482983743,26.13504905199269,26.53108330679031,27.172377880374828,26.06824554713687,26.249593767222976,26.23259322970882,25.405362986207674,26.6859861362449,25.1473788876167,25.151219760804235,26.618234659082983,26.273003181545313
