,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,0.0,0.06496989002012815,0.0541800887184802,4.918420919016979e-16,1.07275540194749e-15,0.0,0.032708423804296345,0.09266256742216937,0.04593504257476486,0.02402178138877276,0.0,2.0820794325250943e-15,0.06465852981375297,0.0,0.16877590869697995,0.0,0.06064933204192132,0.04366255327299357,0.18420785246984073,3.98020943990146e-16,0.0,5.149014168041225e-21,0.014912656768704693,0.2941720589952785,1.9357800590069411e-16,0.0,5.665846660093145e-17
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.0,2.815911872593814e-16,0.012737531906006612,3.2506937275654825e-16,0.0,0.0,0.0,4.789463096954716e-17,0.05330020200878864,3.483409453451982e-16,2.079111803872588e-16,1.3884191493497551e-15,0.0531371971447987,0.0,0.0,0.010190781793610996,4.47911022508074e-18,0.0,0.0,0.0,0.01567168704505128,5.6630033172881555e-21,0.0,0.0,2.8012153808580266e-16,8.373621579318381e-16,5.734853935304144e-17
GA,0,0,1.9343015666775415e-16,0.03815421289489688,0.02442302030353035,0.0,9.167242865952397e-17,0.0,0.011097120040549623,0.06328248392366141,0.08246861027954124,0.005931166451785586,0.0,1.3314382655841454e-16,0.05922182676327235,1.3483421649545736e-15,0.0,0.0,0.06300233618960678,2.428070765281287e-16,0.020771827867329336,0.04556275419736286,0.0,2.5895217155863587e-19,0.0,1.3650782977950304e-16,0.0,0.0,3.3585232324597544e-17
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,0.0,0.1576208898172153,0.0041384881529806855,0.0,0.0,0.03925011367631665,0.05949443156073192,0.0,0.08424795136126968,0.009551649479727895,0.04479532756449941,0.033349061385940196,2.0318460708808453e-18,3.8667862694140212e-16,0.0,0.008205653245331668,0.036893747411616405,0.0,8.008656665159531e-16,0.0,1.7129428496689514e-17,5.564264535173589e-17,0.014083893396131269,3.8902529201495506e-17,0.0,0.09523575932698986,0.014047960152719178
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,1.3974575395269774e-15,1.4117043630524181e-16,0.0,0.0,3.8854185168802706e-16,1.42501370406206e-17,0.019194752407606878,0.005171501972874746,1.4833240972317308e-17,2.805796055714601e-17,0.02522674705432948,5.194776578487185e-16,0.067326442014222,3.351961589720022e-17,2.0542378562082853e-15,3.497504359411807e-18,0.05234433324561206,0.06348508728240355,0.0,6.256118238112296e-16,9.340992496582879e-17,1.7509449068477032e-16,0.0,4.2670131750882634e-17,0.11480148195339346,0.0,0.017643748811466974
IA,0,0,3.47206273046601e-16,7.683411632199447e-16,0.03157570167525845,0.0,1.0176862146994876e-15,0.017470420458932618,0.0,0.074977937096652,0.0,0.046694379867149506,3.98057386266009e-16,0.0,0.06454375227201763,2.1931390380391442e-16,1.6940658945086007e-15,7.307596143745002e-17,0.09035292676025374,0.06312536803541317,0.0,0.0,0.01564834292247223,2.374202868943219e-21,0.0,3.3176586478056436e-17,0.06786052895754685,0.0,3.453282698045685e-17
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,1.783242006379567e-18,0.064317333878755,0.01564118998896121,0.0,0.0,3.024077028287303e-17,0.0,0.06727101709214416,0.04038569717980041,0.018419366240675344,0.025910119243232006,2.7856968818968587e-16,0.06140321370912352,0.0,0.0,0.0,0.042322627519499285,0.0,7.55973517292674e-16,0.0,0.0,9.803260752572943e-18,0.08463370800157001,0.43882529860173614,0.12555208806764878,0.0,3.17936670601874e-17
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.13204874643269993,1.7293813071609516e-18,0.19178930730534205,0.0,1.340155990494886e-15,0.281978941786948,2.06421929245873e-17,3.276323439979634e-17,0.03069442223923071,3.391989498693883e-17,0.0,0.0,0.047868844580788716,0.2074783716493571,0.0,2.1534980592288806e-17,0.037613952321641504,1.3861524775227174e-16,1.6909488132627049e-16,1.268005348330705e-15,0.04923618826186896,5.711327552856631e-19,0.060902600911777356,0.1805605689898451,0.04385672690663514,0.0,1.460387139635227e-17
NE,0,0,1.0535271558588803e-15,2.263509612028189e-16,0.0,0.2084131485907563,0.3091779583698761,0.20542530602145395,0.04579930441958307,9.47999274567013e-18,3.355944537021538e-18,0.0,7.84955166109747e-17,3.6231869143438907e-16,0.0662300529340577,0.1065809173125082,1.5299610536811947e-14,0.10096497404970783,0.0,0.07395724299822734,0.0,2.517722027507094e-16,1.772633970340689e-16,0.26969433396772835,4.2403008656952e-17,9.555886897744115e-17,0.15221661193874228,0.0,0.06294895258001836
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,3.8443171855623378e-16,5.692571648445426e-17,0.03304747577505427,4.523281893821263e-16,0.0,0.0,0.09450974605078351,0.04200316902039884,0.0,0.011352092361282614,0.0,0.0,2.80178421502997e-18,0.0,5.392821605942899e-16,0.0341106355474261,0.046799960092069694,0.08053724817379634,0.0,0.0,0.0,1.0124774038116322e-17,0.060025430327486994,1.0503208545953324e-18,1.2676287959917917e-16,2.871841961188922e-16,0.048210736151601916
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,4.848685589015453e-16,1.9982612866301717e-17,0.013176525878118456,1.4818915264789685e-16,0.0,6.532972846813064e-18,0.0011788173355449035,0.03811050950251828,0.04183428205464752,0.0,0.06962357628123883,6.434373399635481e-16,0.06518410866116292,0.0,0.0,4.4541478226472526e-18,0.03762644066368555,0.0,0.0,0.0,0.0,1.4990618402064962e-16,0.0,2.290377089375628e-18,0.08080279574651525,0.0,4.542596526877461e-17
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,0.0,7.819669043119528e-17,0.03232166502737288,0.05161524906457784,0.0,7.343604096106015e-18,0.11069896597382961,0.06852166416192078,0.07659018167590578,1.496779604967065e-17,0.04917183657582381,0.10647726182156153,2.1830160054932207e-18,0.00582782412725041,0.0,0.058766931214463365,0.010032968084344661,0.0,0.0,0.0,0.091697605144594,7.088243821952929e-17,0.0,0.0,0.0,0.05476386191510799,0.05260670527377188
RI,0,0,0.0,0.062496300761074666,0.0,0.0,8.870138237891748e-18,0.0,0.0,0.04321615877782517,0.03988561619604787,0.0,0.1229425974636038,0.0,3.0718917261446294e-18,7.277365825743676e-20,0.0,0.041316582674752696,0.010977084544876193,0.0,1.4159002746302884e-16,0.0,1.2390648937677318e-16,6.956540437243148e-19,2.6237868124111765e-17,0.0,0.0,2.0225793689364947e-16,0.006943055675272865
SC,0,0,0.0,0.03529997881978199,0.003146226185588504,0.004883987877193459,0.0,0.01021687937120291,0.09162275944538323,0.0,0.02817420806508808,0.0,0.0,0.0,6.910566964685181e-18,0.0,1.7478423222638817e-15,0.09941393183349814,5.637851296924623e-18,0.0,3.0518935902751343e-16,0.0,1.6682238427950862e-17,5.984885244089511e-17,0.0,9.21233033433777e-17,0.0,0.05723001569439417,0.040701847378130054
SD,0,0,4.633294533498076e-16,0.03901496704839914,0.0222987599852807,0.0,1.0962187546876804e-15,2.186987829446746e-19,0.038901968629407355,0.08337486312931676,0.050280143289784564,0.0,4.6156200797478756e-17,7.940714498170202e-16,0.064082969059284,1.0581095775203069e-16,0.0,0.15576037131237633,0.030825494029391567,3.0487765090292385e-16,0.05075277438234865,0.0,0.0,7.337407051235406e-17,9.674991110055378e-17,0.07969542654324029,1.4155963378697075e-16,4.387867596385016e-16,7.93770285588315e-17
TN,0,0,0.0,2.7661178578975453e-16,0.26405286740671985,1.067077535883105e-17,0.0,0.2894148764620802,0.0,6.573856024248968e-17,5.04831636563563e-18,0.04645155167159813,0.0,0.0,0.04539895524221489,2.099868789586138e-16,5.2583805365546965e-16,0.0,0.09535319648750869,0.07329428708731096,3.3907067691768544e-16,2.766750037355094e-16,4.101756550017248e-17,8.365555411135789e-17,0.10785058656796057,0.006585889711554574,0.06855693391645533,8.539402591213434e-16,5.928284609567092e-17
TX,0,0,0.0,0.0,0.023217645567379923,4.658043896919472e-16,0.0,0.009308960116560561,0.01253662184228917,0.10209286625647966,0.04849156461327381,0.008148807685350186,0.0,2.639595164066603e-15,0.061836626758699456,3.3868443235299617e-16,0.0,0.0,0.03972696755220026,1.08373239316979e-16,0.12903188938250174,2.707361474137516e-17,0.0,8.597071902649814e-17,0.0041959844174957565,0.0,0.0,2.47287420431351e-16,4.6577561360323805e-17
UT,0,0,7.093757244694363e-16,3.818272698215301e-17,0.026646816922335594,5.485596220572161e-16,0.0,8.126418044931259e-18,2.7037291676357267e-17,0.020687926532746342,0.06661605070947632,1.542773784346467e-18,2.2070054070714778e-16,2.664385873908472e-16,0.058971715876337635,0.0,0.0,0.0,0.09440404932865376,0.0,0.0,0.0,0.0268266493524192,0.0,0.0,1.5409223376450232e-17,0.0,0.0,8.074182573776503e-18
VT,0,0,0.7748670875703094,0.0,0.0,0.08099400979476967,1.1757236542090788e-15,0.0,0.17173114850635504,1.4846793499473376e-17,0.06425088551676222,5.2754462216251254e-17,0.03123255856065314,0.0,0.06406299796579014,0.37841968777279145,4.325316146913671e-15,0.2628403588649823,8.185726402265558e-18,0.09003052761674034,9.704964696460872e-17,7.445574787991833e-17,0.02716241014219843,5.785131531858864e-17,0.0,0.00016075715834538618,3.401999444379959e-17,0.5973870371331912,0.055806352093093016
VA,0,0,2.6916160811105237e-16,1.05492232745914e-15,2.185345003916095e-18,0.20075326380532052,0.41774177121872985,0.028108566246561502,0.06118192075884874,0.08305169606525765,0.0001288481481902155,0.120726039000622,0.0,0.10592703560127059,0.07208205933263577,3.7267141098772795e-16,4.5924635622141e-15,2.2862583576979132e-17,0.15253238978163963,0.08347807671283278,0.0,0.0,0.37881573092997556,0.09723999191757315,0.053099921906444726,8.739347136590969e-17,0.052559488175088195,0.0,0.01148606375891323
WA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
