,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,0.0,0.04992534900720245,0.016709277333498113,3.060393054135867e-16,0.0,0.0,0.05030786724472821,0.061419101078343516,0.10315129768014973,0.02337017184357116,1.9201683458249777e-17,0.0,0.061871639929634785,0.0,0.24189940848073543,0.0,0.05387565532492584,0.09908320954139041,0.1949963245036943,0.0,2.13636438858612e-17,0.0,0.0,0.25276187052660276,0.06430092429945797,5.05305616768546e-16,0.0
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.016742537821448175,0.0,0.03985540287255403,0.0,4.290155373307708e-17,0.0,0.025718477810931582,0.0,0.012314391645032582,0.0,8.972253690582156e-18,2.8345379339736745e-16,0.04278618428955583,1.23270942159309e-16,1.4922958702090483e-15,0.1920323261116303,0.04536776415233474,8.609676542811889e-16,0.0,7.407910292914776e-16,6.25204350082917e-05,0.0,0.0,0.0,0.01983565851445408,0.0,0.0
GA,0,0,2.6892504472337322e-17,0.024356245955498932,0.03716408497661142,0.0,1.223500344768233e-16,0.0,0.051352457450874904,0.012466141929979739,0.24086123515053162,0.00032681592575743593,1.6568652797545095e-16,8.836619791881411e-17,0.047472324203601514,1.486875117616895e-16,2.608427796674251e-15,1.2955721725819354e-16,0.05063853363068796,0.0,0.049068705714784194,9.688032115839895e-17,0.0,7.188952131365019e-16,4.907516033422709e-17,0.0,0.026421989330059573,8.312918318781574e-17,0.0
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,1.3854651879976784e-16,0.15765095082954136,0.022180031736304607,0.0,0.1064361259794535,2.8597736186586343e-17,0.05957142628537519,0.10263484785000965,0.0,0.023420693222703397,0.07397214916391204,0.0,0.0,0.06072496196611808,1.612371260811818e-15,0.0,0.03821099192804033,0.0,0.0,0.0,3.554811582057716e-05,0.0,0.0,0.0,6.88073374474213e-18,0.0,0.01885558063880856
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,4.10508609904947e-16,0.0,2.0599841277224584e-18,0.0,0.0,0.054012239042067874,0.03152992180638827,0.02058199992212204,0.0,0.006440433354860487,0.01662253134812468,0.0,0.06715598481268728,3.749108678626408e-17,0.0,0.01603815775349,0.0384601208319568,0.06320758299844584,0.0,0.0,2.558771323114392e-16,1.305379224685374e-16,0.0,2.451652162532847e-16,0.027880620301869642,9.900591059307219e-17,0.0
IA,0,0,0.0,5.087991388885021e-16,0.014782344521176115,0.0,1.2103210124096324e-16,0.16184310910670788,0.038250176385772175,0.03280866205598736,0.0,0.04236309404363585,2.0325510638508845e-17,0.0,0.06310793494095997,0.0,0.0,0.0,0.04558686631828343,0.043104764650228625,4.069620617060121e-16,3.0260931712801e-16,0.0,0.0,0.0,2.7764045945101457e-16,0.05924813361322243,0.0,0.0
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,4.595568277909716e-16,0.042706874732378615,0.0,0.0,8.891129393344882e-17,4.682740719568887e-17,0.029895472888502497,0.006576079691084591,0.0,0.07505966624016487,0.05133650975732749,0.0,0.06819659873924737,0.0,0.4764251332273165,0.0,0.045012129298662405,8.587541994020012e-17,2.478892742116545e-16,0.0,1.3467749367208865e-16,0.0,0.25056513739124975,0.41952530335499993,0.04954544132504055,0.0,2.1545759883194228e-17
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,6.814858577280945e-17,0.0,0.18902780591029064,0.0,0.0,0.1630024635642786,0.023633855473038593,0.028357604771050454,0.0,0.00772465726913493,1.8172954945835737e-17,0.0394490031504703,0.06255066943569192,0.0,0.0,0.10414401911883855,0.03869388375010626,0.0,0.0,0.0,0.0,0.0,0.363259102772444,0.1868958460124824,0.04727389773904451,0.0,0.0
NE,0,0,0.3773771710633688,0.0,0.0,0.1410000183647281,0.2718439962460336,0.1690763900915071,4.529263599135729e-18,9.771585708750507e-17,9.486769009248164e-19,0.026302313905433278,4.9978275353668564e-17,0.16196550946526098,0.06206015961833551,0.09849625257618569,0.0,0.09618383809379273,0.03452659705598812,0.052019171946286635,0.0,3.4469906881853735e-17,1.0717492625293906e-16,6.217581743204163e-17,0.0,2.6574726983861693e-16,0.010481589068556963,0.0,0.005106006189074874
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,6.580736779346835e-17,0.0,0.05479349368036543,0.0,0.0,0.0,0.056833540025024235,0.04307458740572806,0.0,2.597930054463871e-17,7.435940137253855e-17,9.29945579186555e-17,0.0,5.71605845080949e-17,0.2538665652973846,8.340480685683681e-18,0.04401457769265927,0.046023798282981934,1.7108032655463457e-16,2.6934760925466757e-16,3.2246332472933237e-16,0.0,2.000123848789671e-16,6.6263387463703916e-18,0.006395480375230642,0.0,0.08402466379264568
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,2.1917772517258074e-16,0.0,0.003386935101741498,1.1011529600778282e-16,4.5709844940471944e-17,0.0,0.0377330776033818,0.0163895734643515,6.898236322439022e-18,0.0,0.10261842072675435,1.2346810958784508e-16,0.06510074696254306,1.4308997112478626e-17,1.9816505207603807e-15,0.007664845503830057,0.04284252999388834,0.0,0.0,3.153582781246977e-16,0.0,0.0,9.906315918658039e-17,0.0,0.029947648613307638,9.129442764555347e-17,1.5402290525199748e-16
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,0.0,4.8080978217943104e-17,0.04164713903064512,0.09644444020583978,0.06379260442165545,4.201171383806961e-17,0.047758290510439116,0.13197677819369827,5.21772295508649e-17,0.002326715495597812,0.020852187714928822,0.038921314919816805,0.0,0.03921472001185901,0.0,0.05776723487975255,0.03900063674637104,4.7262574984306e-16,1.239717421601394e-16,0.0,0.15380017500046037,0.205720652415014,2.5048135885345276e-17,0.0,1.7346830700064096e-18,1.2580332101194933e-16,0.04288580087854029
RI,0,0,0.0,0.056393066490164276,1.4772254600114998e-18,1.0171695760276392e-16,0.0443457251350295,5.2888240757033737e-17,0.03253143487746396,0.1172360753629352,0.0,0.0,0.15229689363220061,4.768311548421767e-18,0.0,0.0,7.518942066186973e-16,0.07651718635987509,0.03889923995385282,3.3845764597150154e-17,2.3012868737362635e-16,0.0,1.0354744834565769e-16,0.0,6.518496983340971e-17,1.6827241233448656e-16,0.016459080222221645,7.589197318677757e-17,4.000426741023089e-17
SC,0,0,0.014807408684673305,0.057901319035376014,0.004199882764949809,5.19404769451329e-17,0.04715689283681772,3.745331947031007e-17,0.04262141616627705,0.02447299589034351,0.0,1.7416609150145653e-17,0.01064763645328312,0.0,0.0,0.028910873778453708,0.0,0.043994633077272916,0.02488227000591282,4.97689079751545e-16,1.0682101904413432e-16,1.0996167895248542e-16,2.751716173060471e-16,0.0,5.861894857478608e-16,0.0,7.887436970661558e-18,0.0,0.025779009426552344
SD,0,0,4.3886692238661074e-16,0.009371115485157863,0.015236384587172636,8.010311956587591e-16,4.3173373142012824e-17,0.0,0.0423420639015517,0.003820174085393678,0.17017586569427032,0.011917076891824082,3.020924514626161e-17,2.9422075381854397e-16,0.05511533838294152,0.0,1.5909582679052292e-15,0.05011336363779781,0.05072304227640598,0.06310879073423582,0.06946540852173178,0.0,0.0,0.0,0.0,0.06430725607389744,0.04256262451613401,0.0,5.626026717290227e-17
TN,0,0,0.0,1.377677655311524e-16,0.2653418044443348,1.0925037119032197e-16,1.2460559033606485e-17,0.19556025694577664,0.02902481206927144,9.289042254937579e-17,2.3622054833027928e-17,0.05162538642037477,2.1300220921203307e-17,0.0,0.06880431019267681,4.093924526633843e-17,0.0,0.0,0.036220550025864,0.029102302393578396,0.0,1.2078987115572965e-16,0.0,5.506683834011536e-16,0.056871888309147176,0.07650972403201835,0.06814860267734388,0.0,1.5747938192172552e-17
TX,0,0,7.196211564314878e-17,0.0,0.009372885966580877,0.0,9.962848071892774e-17,0.0,0.03694822341247113,0.03872278282364384,0.076799023079257,0.02189641038600079,3.0209317239270607e-17,0.0,0.05865205807518098,0.0,0.019553588421717942,0.0,0.05145541311528852,0.0,0.15205969183815607,5.149546982334387e-16,5.4375345235105924e-17,4.0778721226312393e-16,0.0,1.014279602689662e-16,0.06482589278831626,1.634338292893181e-16,2.648178473518132e-16
UT,0,0,0.0,3.2584002228157327e-16,0.061404374183263215,0.0,0.02708275115340595,0.0,0.06455261686080015,0.0,0.15220684813428328,7.189712228607629e-17,1.8124479002974997e-17,0.0,0.04370404677686548,0.0,6.468892262134762e-16,0.0,0.04933971591660129,0.0,6.29311598492055e-17,1.8412895813849202e-16,0.0,0.0,5.354371691791895e-16,1.1459424040108704e-16,0.03206195166904601,0.0,2.4291873840106034e-16
VT,0,0,0.5642340295108254,0.0,0.005736869501751008,0.021626613866829413,0.032184506077071504,0.0,0.015258812452438054,0.0,0.1676517669129049,0.00013929597210936113,0.0028987951675154347,0.0,0.06014176938060414,0.11822940729124463,0.0,0.170856170092657,0.03337735377212777,0.055547631341221135,0.0,4.544232334469587e-16,0.1270327654787298,1.3623594814212805e-16,0.0,3.1577388273640317e-17,4.455829901841397e-20,0.5473827918444157,0.014601662548699707
VA,0,0,1.7061534580815476e-15,0.0,0.014556134867166542,0.2020699438528391,0.14627273178813488,0.0498900585769384,0.05803983206287924,0.04184378345940411,8.288725608651681e-17,0.08259127250347609,1.406651364136258e-16,0.11919565520307106,0.058192324439679456,0.04571021487335912,0.0,1.198567978181636e-16,0.041306635292091616,0.0201353511606548,0.0,1.3981154032785458e-16,0.1508524643710224,0.05715076951619365,0.0,0.0,0.006437954274855404,0.42543185698390484,0.0
WA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
