,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,0.0,0.06503380391710695,0.0,1.0749754060869624e-16,8.870057451261231e-17,0.003588989452998609,0.0,0.15967689296521903,0.037661978496565635,0.05434485103856375,0.0,2.5014461999129267e-16,0.022798921777090895,1.1938069254113654e-16,0.058488738807106366,6.083082492293975e-17,0.03197375919616082,0.052497244503026945,0.23325634362732287,0.0,0.0,0.0,0.0,0.21318974079628136,5.224448029238965e-17
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,3.033143199524149e-16,4.551942324844565e-17,0.10354991998320516,2.6814306250323694e-16,0.09866972171616142,0.0,0.0,0.0,0.0363756448334757,5.247504633511951e-16,1.0377479534829644e-16,0.10836673239457742,0.0,1.051512812757288e-16,7.154650136231844e-16,0.0878973901081258,0.03127794926218719,5.547472881452589e-16,0.0,0.0,0.08926039885096244,1.4953099205607282e-16,1.6987682392237888e-17,0.015483603156711446,0.0
GA,0,0,0.0,0.023341191468358446,0.0,0.0,0.06482424054836942,7.67441700710126e-17,7.889748550950832e-17,0.0029175852814221606,0.03911670427234852,4.597495402850752e-18,0.0,0.0,0.004930698234952733,0.0,2.0724524527060417e-16,1.2308071592309818e-16,0.014957165787883699,1.0115606269289756e-16,0.11862955935367246,2.248245952108358e-15,5.916261060232347e-16,0.0,0.0,4.945933208468285e-17,1.6572349775837334e-16
HI,0,0,2.1422467063549028e-16,0.03234588585040634,0.0,0.017770400452475764,0.10227646169282392,2.259996793357524e-18,0.09889502643297599,2.1343875018092762e-16,0.03891183235113519,4.711980428023987e-17,1.5892492855746363e-16,0.0,0.06977074528873037,0.012801755608743762,3.2498960120252995e-17,0.04034393563035933,0.045186545020164705,0.024823816722541123,0.0,0.2989752318884253,0.08629737850361495,0.26111920956557266,0.024417491373256748,1.281427938248037e-17,0.0
ID,0,0,9.991405981396682e-17,0.07985682411413235,0.1137570795724911,0.005279882170952179,0.14119936665736862,0.0,5.198135517166009e-17,0.09845087200689484,0.039578375022314385,0.03421993279345403,0.06446874531446371,4.0176638006180363e-16,0.007681294449997546,0.0656924644439206,0.36950749661809124,0.003288098817134462,0.03252590094262274,0.0,0.0,2.4692549194679647e-16,0.00011849833631906151,0.0,0.020769544978937068,9.81300083667955e-17,3.6513916473675356e-18
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,4.035589369872213e-16,4.810983944752373e-18,0.0,7.894134886270276e-17,1.3548223159347273e-16,0.07784111654671207,0.056734536028941886,0.0,0.03510356347801586,0.0,0.016969699309316622,5.072149741579025e-17,0.0663028435692496,1.1217405445793659e-16,0.0,0.0,0.043512283983905456,7.656500216821072e-17,3.469446951953614e-16,8.773760392203617e-16,0.0,0.0,0.0,0.020462646417859904,0.03133857880549792
IA,0,0,1.0069730581828091e-15,7.412532664528834e-17,1.381518271872e-16,0.005678572704643189,0.0,0.07315697339822679,0.08939469021494091,0.025686655623700014,0.036177551249441775,0.046129413469840966,0.0,0.0,0.05772402726039066,0.0,0.0,1.0230337815511341e-16,0.047537303769832444,2.430154466331533e-16,0.0,8.63173507128167e-16,8.012266560175601e-18,3.9161760323092664e-16,0.0,0.04908019956182747,0.1656254103536226
