,18+,12-17,OH,NY,KY,MO,NV,OR,CA,CT,WA,MN,NM,CO,KS,AR,WV,HI,DE,IL,MI,AK,AL,NC,NJ,MA,ME,MD,LA
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,0.014520411916026488,2.2151441655483167e-17,0.13729004451472404,3.4741532912767114e-16,0.10815037164053416,5.679255496449797e-17,0.0,5.148925721686042e-16,0.0,0.0,1.6126588474896598e-16,2.704737182213125e-16,0.0,0.041130673196065295,0.10857806052662868,0.0,0.0,0.018638004985518215,4.34827408842492e-18,0.09503958559920622,0.0,0.09287400936818833,9.027708232034428e-16,1.2664456157268031e-05,0.0,1.4143453543055046e-16,0.01662063821469796
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.0,0.06752245370155337,0.0,0.0,0.07144932907353548,0.12997967975995256,0.4238548814912191,0.0,4.4354630348537824e-16,0.0,0.0,0.0,1.3191183775602438e-16,0.04558838097863447,1.923611823214516e-16,3.8239009743543235e-16,0.010403298479722004,0.03748331327352799,0.10176423590251411,0.0,1.0079933448954773e-16,1.601163320853749e-16,0.0,0.08105083374284756,1.843474753945987e-16,0.0006454413688443637,0.0
GA,0,0,1.1388019162655166e-16,0.16865679891592905,7.011399924192196e-17,0.6932195514238334,0.16965394826910155,1.2625631246088638e-16,0.0,0.0,7.174945169003266e-16,0.0,3.2777870254273177e-16,0.0,0.0,0.04282973168556268,0.009356146801264632,1.0054505093783968e-16,0.0,0.03648045480899014,0.06111393522579258,1.9087379246607306e-16,2.877275254531078e-16,1.3345851116938756e-16,0.0,3.249811308730574e-16,3.5239631594899833e-16,0.03760414195191865,3.337987438539747e-17
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,0.0,0.04427361538594241,0.0,0.0,0.2464795284063341,0.0,0.0,0.0,0.07557937530812195,0.0,0.05189592739143459,0.04533680093817332,0.004896867633609693,4.617817134948568e-18,1.2918268885164785e-16,0.048618183810122444,1.766706282095485e-17,0.03611853468681012,0.014928006623467072,6.667843360785852e-18,0.0,5.0023696923038323e-17,0.0,0.0,5.314343331425533e-16,0.11638804331785889,0.0
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,0.06911297958922358,0.0,5.361883321518942e-18,3.657259312149488e-16,1.5938314036623158e-15,3.860369349611927e-16,2.406519018912081e-15,0.0,0.0,0.0004494894985198165,0.0030588900744981176,4.45099049303988e-16,0.0,0.031368052340976754,0.0,0.0,5.5133156308105134e-17,0.03171450858371558,0.05966288380953848,0.12080437472866422,7.935482267333431e-16,0.02891815187457848,9.42605449180778e-16,2.118615748331401e-16,7.307655487229974e-17,2.844355492005515e-17,0.0
IA,0,0,0.07061390035884636,5.217509214390591e-17,0.0,1.2878968374373854e-16,1.4872543301069907e-15,0.0,2.1861940029806023e-15,0.0,1.268422578153184e-16,2.297980049684123e-17,0.0,0.0,0.062441461814793514,0.045445962837793404,0.0,0.0,1.8008945431049075e-17,0.0228680938719793,0.03408247774833522,0.029536057822537067,2.6313628911258286e-16,0.11904703874037878,4.614343901498434e-16,5.508560187855727e-16,5.835860319815608e-16,2.538617763886334e-16,0.0
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,0.04923741283976487,0.055090961465506044,0.01018209411496846,7.387963326965095e-16,0.1753300492149678,1.874845283295784e-16,0.0,3.734220779851518e-16,0.0,0.0,0.0,0.0,9.270855683719953e-18,0.03812813334012352,0.0,0.0,5.5931064141232e-17,0.03929217839158179,0.0,0.19090365669902734,4.645317233968453e-16,0.09176187860905642,3.197422744739521e-16,0.0,1.5960058860531767e-16,3.555435315904337e-16,0.08466582020802683
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.07483062512012051,0.03718111197932836,1.0608240631412857e-17,0.0,0.0,3.5865571955479903e-16,0.0,0.0,4.282381194088431e-16,0.0017868421917536896,1.2296555436784867e-16,0.0,1.027759991703922e-05,0.08852587949677862,0.0,0.0,0.008860124556675777,1.5869766383865485e-17,0.009240893157873877,2.556819773263941e-16,0.009022362836978376,0.06233811208562255,0.0,1.4622160361861536e-16,0.0,0.0,0.09866818295920038
NE,0,0,1.0255874925355069e-16,0.0,4.369393633287909e-17,7.623885301959426e-16,1.057720534422546e-15,1.0458711788833794e-16,1.16507560877364e-15,0.25542647127118207,0.256360686477621,0.3023258016108442,0.0,0.04488285812912811,6.70472434767627e-17,0.02100396280278219,0.0,0.0,0.03242070898100603,0.03587157214664771,0.03452394721628745,0.00022466400259424143,3.470482970753108e-16,1.0056836596111952e-16,0.0,0.22216024041881416,0.05688071859331529,0.06707187647727125,3.867891250342037e-17
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,0.0,2.6723404253579887e-18,1.1868117437158904e-16,0.0,5.361379742940819e-16,1.7498811473713395e-16,0.0,0.0,6.102533265776457e-17,7.60424731104849e-16,0.07530159661261397,0.02553252882573755,0.062270429701609696,0.0017053253107544586,0.0,3.161414013475793e-17,0.11467739133210444,0.027651418526421563,0.012931123978234621,0.2375258745692069,0.0,1.2327504177597266e-17,0.0,0.0,0.0,0.0,0.0
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,0.0,0.04889432637872298,0.0,0.0,0.0,2.7999583651971285e-16,3.7154287014379806e-15,1.1650025429534975e-16,2.548814503949883e-16,0.0,0.0,7.260478049811256e-17,1.1075638798466699e-16,0.038980894123495195,0.0028795261306825554,0.0,1.1466394876632222e-16,0.04637070817916191,0.07663687866790211,1.1820514185523212e-16,0.0,0.017174300861519432,0.0,0.0,1.5864898345895444e-16,0.0,0.0
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,4.516718487938831e-17,3.1942719708715925e-17,0.03227779039439405,0.0,0.0,0.0,3.707408868232855e-15,0.11549331269022003,0.0329659548125195,0.0,0.2638850749530731,0.03182315018091634,0.31622402093362784,0.0,8.448645429093293e-17,0.016219342106442526,0.09176907184358615,0.04889054456624559,0.052076577272972206,0.0,1.4149627903593872e-17,0.0,1.456295391127882e-16,0.0,0.0,0.1285705080300146,2.1842608017436094e-16
RI,0,0,4.257526406079015e-17,0.0,0.023900280462882558,7.120273075046973e-16,0.023914805503940175,3.939422086966138e-18,0.0,0.0,2.8275455238713006e-16,0.028594757044896273,0.0,0.02196584267769274,0.11120268371885371,2.049631808032074e-18,2.5868386209146332e-17,9.82190546018935e-16,0.04271131468737235,0.04442503375162598,0.009766917216419969,1.293317666503646e-16,1.3655230788083197e-16,0.0,1.2901725942690515e-17,0.0,4.935143686672777e-16,2.6534736124489815e-17,0.0
SC,0,0,0.0,4.0769716804905607e-17,0.011475801337459719,5.636118751135129e-16,0.03078107631849679,1.577166480629586e-16,7.284426211230646e-16,0.10153695464978078,2.0774388895534556e-16,0.0,0.0,0.0824078330046759,0.02240310691076668,1.1148754834598704e-18,8.682765335714382e-17,0.007744506555620907,0.17786330077107668,0.0,0.028455936968956166,0.0,1.3650872197397305e-15,0.0,0.0,2.499119888896978e-16,0.0,0.1128928768309041,0.0
SD,0,0,8.2578089060769e-17,0.09358988402858685,0.002400649478600521,0.04644660928450497,0.06501951733349765,0.0,0.0,1.0129066260492397e-16,0.0,2.8209945892871164e-16,1.0888737488922252e-16,2.0627895944116217e-16,8.591435955987936e-17,0.037469800427779885,0.021100350383332404,0.0,0.08269694990645617,0.035618199537275796,0.019919680439698887,0.0005110160737459841,6.983983272941869e-16,0.003585957093747006,0.0,0.09203006984650366,0.0,0.0,0.007610412409806193
TN,0,0,0.16595012464386674,0.045017833658671055,2.5959152756818314e-17,1.1454974395016261e-15,1.3088217575701888e-15,0.07711773724274214,0.0,8.859722524041262e-17,0.0,0.0,5.765690538638533e-17,0.0,0.0,0.1137759675139575,3.979699599379605e-17,0.0,0.0,2.2804333649301876e-17,0.011468386384511416,0.16534016517426978,0.990977637163017,0.16522279706056392,0.0,3.788270153300133e-17,2.654086508905761e-16,7.268766121927496e-17,0.0
TX,0,0,5.3586692375096057e-17,0.0,0.0008580031534713893,0.0,0.0,3.580243452372048e-17,3.246910412491247e-15,1.9476099349264643e-17,0.0,2.369780513211178e-16,0.0,2.4347675281043477e-16,0.0,0.037701028869223,0.04000585922699713,0.0,2.0518175170669343e-17,0.03459652138572929,0.08035222402020188,0.0,1.7778884581492288e-16,0.10680779347145002,7.885128475416467e-16,0.0,0.0,8.30426385930873e-18,0.0
UT,0,0,0.0,0.016718633314428164,0.0,0.0,0.10922106635676064,0.27284151761128206,1.1979265071626172e-15,0.0,1.5605682659194832e-16,1.4462496777515566e-16,0.0,0.0,0.0,0.05051283024899356,1.4325021203964727e-17,0.0,0.0,0.04162036124433181,0.046417012979005225,0.0,0.0,3.1876861189182113e-17,0.05017598629719255,1.4198643888234386e-16,2.8274919774281174e-17,5.123306255242244e-17,0.0
VT,0,0,0.004159923950704133,0.02191489354962054,1.9449231721674343e-16,2.049895732812783e-15,1.4718857643120087e-15,0.0,0.0,0.2030949746556155,0.21624881244580105,0.1488928093192489,0.11477695542069269,2.2324936836297137e-16,0.06918859788682943,0.021408734498171315,0.0,0.71729884939162,0.15196102385111815,0.03714663224691606,0.008653360587844258,1.925000957248013e-16,2.0560217482898516e-15,1.2561710072643022e-17,5.998716689784738e-16,0.5776846105369566,0.8318923871342941,0.18347284037750025,0.0
VA,0,0,0.09348545135751934,0.0,1.1130012926921506e-18,0.0,1.928497509254279e-15,0.0,0.5434605975311977,0.0,0.20586969066327154,0.05778148034253497,0.07080154016414322,0.24018827830275766,1.674998300756598e-17,0.045837878032178696,9.293645497274183e-17,9.132914871102373e-16,3.329697004703339e-16,0.05513576936772099,0.08567530377836122,0.05266604565865494,0.0,0.004432765318311252,0.10609300646392547,0.0,0.10722633129283013,0.09505482629511837,0.0
WA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
