,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,0.0,0.04737235041834806,3.5147205084221446e-17,1.346597889993257e-16,0.0,0.007617567725073046,4.9630679597892476e-17,0.14394547142580666,0.05954335514823008,1.0645237934825308e-17,1.8271700622865758e-16,0.0,0.05946103739482845,3.777486611482177e-16,0.0,0.0,0.15800908478395484,0.020063961090269495,0.19424031744559606,5.014764367097011e-15,0.008007028123341928,1.1324526712921735e-15,0.0003139625317559973,0.3226030881893538,0.05057801198003296
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,7.475561295439198e-16,0.0,0.10102642904898285,2.5186399723458187e-16,0.08287017932284294,4.846608933801938e-16,4.4419765081693494e-17,0.0,0.015826242007627302,1.8679132794424784e-16,9.181088438707031e-17,0.22345308112934958,0.05831236358016272,0.0,0.14725958751128532,0.0,5.969677949694998e-17,0.0,0.0,0.0,0.0227320664673087,0.0,2.5392875913336776e-16,0.04750643956184517,1.1490747346856311e-16
GA,0,0,0.0,0.11609145633680702,0.02603486935122332,0.0,0.047953598892929425,0.0,4.3748267668545543e-17,6.159764576177394e-05,0.0359832318568446,3.1540347227242026e-17,0.0,1.2522954142108369e-15,0.05974056676845724,2.457663609510597e-17,0.44350774372372354,3.095967326921234e-16,0.0,0.0,0.1372167794762098,1.2231748823521357e-15,0.03386017824795666,2.5435774965666003e-15,5.906030809578832e-17,9.889279065783407e-17,1.962903132346544e-17
HI,0,0,1.2668107275142198e-15,0.0,0.0,0.01575908606456883,0.1420181131816639,0.0,0.08597797052775834,1.586983989316712e-16,0.014478113342486469,8.808803541105656e-17,0.002894055485715041,2.66594005389795e-16,0.0,0.06192886297996444,0.0,0.05350845456015255,0.033599982141946524,0.025048455288280442,1.943296868908706e-16,0.3010514933307908,0.28302045959699407,0.2606061515590396,0.046704153820225504,0.0,0.08265977663444221
ID,0,0,4.110604912217533e-15,0.13368829722200778,0.1274348523354033,6.369456308865631e-17,0.12813468170763642,0.0,0.0,0.12764743382022534,0.01935094072389256,0.0006481600069325722,0.1422807343508097,2.7145588966505876e-16,0.0,0.145362045102878,6.704444330015174e-16,0.03170560769630719,1.8288166342149888e-17,0.0,1.5951324462692984e-16,0.0,0.05279545195404573,0.0,2.1209499070767165e-17,0.0,6.7532109955680404e-18
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,2.6119808814726182e-17,4.548569962611322e-16,0.0,1.9972586436300401e-16,0.0,0.08374507062017778,0.058224372714530764,1.326978755827532e-16,0.04933841521707705,1.5001366613072384e-16,2.074941717545179e-16,2.9993216746229524e-16,0.05888932923436457,0.0,3.2709140331528686e-16,9.233736763930304e-18,0.04371246831204868,0.08529427934267948,0.0,0.0,0.016521589533146176,3.7208833242495655e-16,7.012695447875975e-18,0.0,0.14710479232646437
