,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC
IA,0,0,1.2884551672850065e-15,3.563472691415271e-16,0.0,0.01367886056812746,3.913944925391772e-17,0.15371315610630293,0.09494980043204576,6.092877396189633e-17,0.04086539583184699,2.4518682576871117e-17,0.0,0.0,0.05913757393560674,4.9030486342420926e-17,0.0,0.0,0.041231925873213525,0.06836078210667584,0.0,0.0,0.007521640170235498,1.572193500099319e-15,1.090119388399851e-16,6.514022177564471e-17,0.07353448426084307
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,7.682556833527671e-16,0.0,6.030523772075937e-17,0.05814414181236513,0.26136593915769607,0.04648598871288643,0.014581766369711329,0.0,0.014547166822406562,0.03359402776693855,0.0,4.0105181656035203e-16,0.058507753115703075,0.16311068368980358,0.0,0.0047899800209800425,5.1381586140421116e-18,0.0,9.934815557027799e-16,0.3368727916412605,0.056559385868853236,0.1652569031944085,3.777616611469153e-17,0.0,4.658913929896847e-18
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,4.514843116039483e-17,0.12815364138330937,0.0,0.0,0.0,4.237536428523814e-17,0.0,0.0,0.0417937535706042,0.2285028883159473,0.0,0.0,0.05882913923174108,0.0,0.0,7.126005586588547e-18,3.083813246244174e-17,0.0,7.041893110293351e-17,1.9840056437322233e-16,0.01439147504978171,8.650860085978513e-16,0.031346114257879094,0.0,3.2204297773197866e-17
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.0,3.8034619079195877e-16,0.13281321269003493,0.003373408787723635,0.0,0.13291736765877732,0.07311898821292676,1.212383459481073e-16,0.05938599920978707,3.902209799049121e-17,0.010637557003475481,4.4151198133565096e-16,0.057142011223237664,0.0,3.3274478212301993e-16,1.2054153325251587e-18,0.016931677448857093,0.0,0.0,1.40562490537461e-15,0.001090993582432252,0.0,0.08183807714417644,0.07196705602182249,0.0
NE,0,0,0.0,2.806746002195435e-16,1.4536144184288564e-17,0.03514578404069971,3.026013359066783e-17,0.018128664838658298,0.08131322290947444,0.0,0.053809179870222726,0.03924288318762842,0.0,1.9728253308373874e-16,0.05836403664592628,0.0672832799843111,4.2888334312569e-17,0.0,0.05243055122908779,0.03728012593007841,0.0,0.0,0.01440644966998635,0.0,1.36400627768195e-17,0.06570514881669733,0.028942412876591554
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,1.5341897747063659e-15,0.09726280361932294,0.2073327274007749,2.966283420084269e-16,0.03783665668551257,0.0,0.003305967029801604,0.05247176049002926,0.011896625189489429,2.1214340970971727e-17,0.0,0.0,1.346347877508774e-19,0.0,0.0,0.10623119829146514,0.023203366554083966,0.05673104766932234,0.0,1.6718748019153572e-15,0.06981294919814585,1.6601760261379498e-06,0.0394845158730338,6.71459957947429e-17,2.2198782001354837e-17
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,0.0,0.0,0.02693936030103574,0.0,1.413453966763488e-16,0.0,0.0,1.4508149727161107e-16,0.03235980536332447,5.2752787487068565e-17,0.060665229857402345,3.4130476913641767e-16,0.0592659808732288,0.0,0.10271775872415655,4.858860277968321e-17,0.03514845009441592,0.0,0.0,1.1667716432159577e-15,0.02090187924474106,0.0,0.0,0.0,0.005022374707188882
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,5.87639377937618e-17,1.9759719851287352e-16,0.0006754610515379866,0.08950687350664,1.2816978153061174e-16,1.4131897691990747e-17,0.07922344740102678,0.003185371762485391,0.028136504755055938,1.6747820468767698e-18,0.0,0.12163778353857561,5.029043590873796e-19,0.08989772943740185,1.0574265270176208e-16,0.08456861334394968,0.030622445422338867,0.0,1.035277549452096e-16,0.0,0.03548650074377526,0.0,2.4389830769137804e-19,0.0,3.243641330508165e-17
RI,0,0,6.693201008773585e-16,0.002488177054359392,5.064928822172637e-17,0.05225075421346871,0.007013938280122815,7.985464522696632e-18,2.4383066346168598e-17,0.04476280730858493,0.03135036201719011,1.1086532938374651e-16,0.23429151311363777,0.0,9.816677350051777e-19,0.0,0.0,0.062272048330591086,0.017384296223089866,2.597693348133697e-16,6.371043016067945e-16,1.863921481037368e-15,0.030406072652635077,0.25025779003073795,4.68897829184258e-17,0.056497726284273776,1.1661299186741565e-17
SC,0,0,2.748822622872683e-16,0.0,0.021559750374812774,0.0,0.20325867410258971,0.040933571109725946,0.02860275270572007,0.023691328525539113,0.01588150424606419,0.08696771967349763,0.0,0.0,0.0,1.8691544996258544e-17,6.96647711534142e-17,0.1927516995769758,0.04566178289715022,5.069987703591131e-16,2.968952124079993e-16,0.0,0.02828255442505223,1.9350016272584363e-06,1.7621855027770623e-16,0.0,1.440755626599897e-17
SD,0,0,0.0,0.10960608445528465,0.0009900501799984481,8.10685764965136e-17,0.0,0.0,7.957557914510252e-17,1.0989405457677293e-17,0.04690097553358381,4.81709048341672e-18,0.0,1.5890043521223913e-16,0.05931033587824032,0.0,0.03380421928404297,0.0033508150073638765,0.006456779915994088,0.0,0.12746047375131714,2.597390593677923e-15,0.009068849211854597,5.770403991691841e-16,4.406941077008989e-17,0.12608360589192574,1.3873136099714356e-17
TN,0,0,1.6077211846637493e-16,0.0,0.2861126249544384,0.0,1.9342512358233573e-17,0.3346114465292934,0.08595854111544957,0.0,0.05820839600816509,0.04278981590948426,3.491630666827112e-17,1.0524355588189764e-16,0.057358370851660866,0.0,0.0,0.0,0.037202497386123044,0.1200738029461038,0.0,5.833347402050423e-16,0.0066247300198829595,7.466887911092352e-16,0.11938139407627131,0.0,0.10226891583414888
TX,0,0,0.0,0.0,0.015959906320058587,1.4904765148932317e-16,4.159819991877606e-17,0.0,5.166158838721165e-17,0.08432285491370389,0.04678627121723002,1.1364246397610662e-16,0.0,4.907516411769282e-16,0.05958379212924088,0.0,0.27271069075679205,0.0,0.10828450697590444,4.712425450401937e-17,0.05604002325640722,1.9221399205287302e-15,0.012612293295210093,2.1626258837414704e-16,9.405991470253592e-19,0.19477534770305757,1.2711321936798972e-17
UT,0,0,6.88909957488403e-16,0.07331543838327213,0.0480806541857084,0.0,0.06781173732026928,2.621959642646812e-16,0.0,2.969528106484126e-17,0.024226444883404107,1.8904789940278518e-17,0.0,0.0,0.06025004123794853,5.224044591743236e-17,0.0,2.3957448151656073e-16,2.324815614519054e-18,0.0,1.5519698508157486e-16,0.0,0.05350051754380487,2.668701378457474e-15,3.0041725328758597e-17,0.0,0.07259439340713503
VT,0,0,0.7426963946118789,0.0,2.340667533316467e-16,0.05889996764382238,2.1640473230445064e-16,2.1812792457692742e-17,0.08768774769532364,1.3922506140028214e-16,0.08089379787686136,0.0001089558622390049,0.0,3.2152261410866307e-16,0.05801567759504442,0.1744413806531023,0.0,0.08808996970769292,0.02508739821746567,0.11113736939606031,7.262780664608022e-17,0.0,0.008888185993793651,0.0,5.289892542221178e-17,0.11407356074781912,5.91889280476852e-18
VA,0,0,5.79738631124543e-16,9.234350342730865e-16,1.4195757392282505e-17,0.16654643815780834,0.0009544049330571716,0.13300491798310723,0.08699189506331255,0.007625735407029556,0.01601931638695253,7.804725632157109e-17,0.0,0.5976282509725648,0.06058079936840963,0.0,0.0,0.0,2.773409695321242e-17,0.07372694893194025,7.825906806271932e-16,0.0,0.023399681671347188,5.650287394010525e-15,0.126038112149117,0.0,0.18139542318235866
WA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,0,0,1.0194808874619702e-15,0.1354772115237952,8.326043346900146e-18,0.2589956911068719,0.02078207641567932,0.048842248715997225,0.055091937917732973,0.06660606991532654,0.024386500133611898,0.1727499293356743,0.04845879207092131,0.0,0.0,0.16599123834754195,0.0,0.06430570019436763,0.009198522449433987,8.950173637162565e-18,3.358850131811107e-16,0.0,0.07021109749393245,0.0,1.0467387958557562e-17,2.047312514831534e-16,0.029355178957989128
WY,0,0,0.0,6.179869165096989e-16,3.439725007375227e-17,0.12057756424573672,0.0,2.918133234679261e-17,0.023277882252054426,0.06668814609751796,0.04162808458227908,1.2056791290682676e-17,0.13614682245852758,8.318541168395033e-17,1.61739842063015e-19,2.939528985107555e-17,8.953486304115595e-17,0.041555101920389706,0.0038748084118264657,0.07824038457227357,0.0,3.940415580637175e-16,0.020608116407911818,0.0,4.582179006932454e-17,0.0007880267832059851,0.005638041706000005
