,18+,12-17,OH,NY,KY,MO,NV,OR,CA,CT,WA,MN,NM,CO,KS,AR,WV,HI,DE,IL,MI,AK,AL,NC,NJ,MA,ME,MD,LA
AL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0,0,0.0,0.051671549158126454,0.11723809390187964,2.285214529785964e-16,1.823769962228676e-16,0.12346022646501584,3.5738527884397467e-16,0.0,2.225613633519929e-16,1.1740256078372076e-16,0.05683464714266936,8.218497324335419e-17,0.06298830120111118,0.06965919410162659,0.09351088533799722,5.912308987863533e-17,1.0008555953326884e-16,0.01021393418209903,0.05625569609496236,0.31310031932488436,0.0,0.1131581183500105,0.0,1.317620454726932e-16,1.0560030257409849e-16,2.1060679237085804e-17,0.062005828704860905
AR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,0,0,9.894576167825231e-17,0.05467642648862342,0.0,0.0,0.09822593168301995,0.05512353576180866,0.0,0.0,0.04271406371662979,1.411132974118313e-16,0.022411063895044436,0.09257919880722497,0.01203546267864544,0.030108172924358512,2.52521898961211e-17,0.03476751784520878,0.021758935117373503,0.06488013942145683,0.0,6.151763126682752e-16,2.9454178372251305e-16,1.3536396197626926e-17,6.226271743450223e-16,0.05359682654493183,3.5935822516803576e-16,1.547955363469514e-17,0.0
GA,0,0,0.0,0.11801569278445237,3.2134742116248087e-16,0.6296301476962678,0.13225400295427409,0.02911659396987009,0.0,4.923906695298359e-16,0.036461233069497,0.0,0.0,1.2405505305753335e-16,0.018161128450350617,0.03582729536968104,0.019548810126137087,0.05850314077728328,3.9739756882759266e-16,0.0538597480555137,6.564554709333708e-17,0.0,6.018135579622496e-16,0.007664610511483327,1.825014948950695e-16,0.0,4.446989470589497e-16,0.06190694129179764,9.873693659553928e-17
HI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0,0,0.0,0.047081442040881376,2.862158210090171e-16,4.24796477849554e-16,0.29109323651529545,3.3332425867659383e-18,0.10635610909293529,0.0019954260753182714,0.06321342705942966,0.0,0.0,0.0,0.04121661466163976,0.013035559298564528,4.930542833025666e-17,0.09953540274788818,0.0,0.06757411137807313,0.0,0.0,6.373761565376672e-16,1.583621117195207e-16,0.0,0.0,2.438151903732629e-17,0.10137880967762081,3.5481193720945936e-16
IL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0,0,5.312745763856786e-17,0.0032860303041797644,0.0,5.81162464846588e-16,6.709189317349159e-16,0.013920979514017622,2.719050540433531e-16,0.0,1.2243027201374105e-17,6.713692622239257e-17,0.029972285383504865,0.06796888713833289,0.006725850897781221,0.0,2.1433343912910297e-17,0.01374109409314338,0.0,0.05124614890812928,0.08799288205144086,0.0,1.5108190586953325e-15,0.011805072026484129,0.0,4.111039823339621e-18,0.0,9.282863977257142e-17,2.8390511512890737e-16
IA,0,0,0.19897804681648154,7.365691743035272e-18,2.5567858919460507e-16,0.0,0.0,0.05475293386015544,0.0,2.7149886383623397e-16,2.6522941051034785e-17,0.0,0.06506594159056264,3.491352917458149e-17,0.06617952361230825,0.011578471736289495,1.65673126078591e-17,5.515102334546359e-18,1.2193760908749605e-16,0.0,2.7154882973334875e-17,0.07909036173331703,0.0,0.09913326236002303,2.373147423820738e-16,0.0,4.443818218425339e-16,1.3224002298345773e-17,0.0
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,9.811489465712381e-17,0.03620948847662718,1.0554369335967484e-16,0.0,0.0,0.05696767839596376,0.0,0.0,3.418881185543706e-17,0.0,0.04339636846922706,0.0,0.0006404246973475405,0.020402540748812058,1.7784041438054735e-17,1.1427986868613167e-17,0.0,0.04291533759786904,0.08257352263619747,0.0,2.7796226683446534e-16,0.0723992694723261,4.060848596937906e-17,3.642940408786326e-17,0.0,3.415043769524429e-17,0.0
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.027774224973546195,2.3830824350311193e-18,0.0,0.0,0.0,0.061172900705639306,2.4787701504540835e-17,9.492760495784991e-17,0.014207473165919426,0.0,0.11823507106320119,4.645547755938369e-17,0.05021219179271605,0.08283708484466745,3.360666806129863e-17,0.0,0.0,6.606931527482901e-15,3.541775505795695e-17,0.011476806151951933,0.0,0.06587242268636664,0.0,3.5852281278158493e-16,0.0,7.69986432780359e-17,1.403228661739364e-16
NE,0,0,0.0,1.0470271911642494e-21,1.4149177164114735e-16,0.0,0.0,1.2024197709405229e-17,4.572313738469255e-16,0.24905376295126688,0.12383848542418406,0.28063272115897214,0.02038250658190019,0.13046447017685237,0.10879694811290459,0.0,8.461316708519062e-17,0.05111679565781158,0.019477839553665322,0.0823829203908092,0.0,2.8893987896738693e-16,1.899446978286902e-15,1.9599029277643e-17,0.0,0.13282680375838513,0.23062440491993202,0.049603560424664184,0.0
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,0.0,0.0263717726338235,1.1182190156472371e-16,1.867520215837503e-16,7.231486389119757e-17,0.015205650832408869,0.03892510675180428,0.0,5.989163691486108e-17,5.132707742523971e-16,0.0,5.145290386581031e-17,3.957337929572091e-18,0.022883956780977897,4.4597716701432794e-17,0.1486165242068673,0.1378716862269807,0.0,0.04276179088420432,4.6900907398075e-16,2.008751696223624e-15,3.963188539930764e-17,0.0,0.0,0.0,0.07439102363271191,0.0
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,5.99930879941004e-17,0.039933634450258854,0.0,1.310451389693277e-17,1.2981973712183737e-16,0.0469395534955346,3.734126250524686e-17,0.0,2.0294595898176788e-17,0.0,0.03360211787294472,0.05666075970432987,0.009936016844003213,0.028921165669829264,0.0015425609915312017,6.707462284045704e-18,8.796852963332734e-17,0.07563842113075134,0.11378201142491677,0.0,1.7585010413563691e-15,0.017300657602532955,0.0,3.616065530429438e-17,0.0,1.364881997824954e-17,0.0
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0,0,0.0,2.1631052677901083e-19,0.010311481171590427,0.0,1.221420439917102e-16,1.8123128163949634e-17,0.09809489776902156,6.118261158941204e-16,0.15945353183347685,0.0,0.0,0.11146203769538161,0.1301728909824218,0.027336126937602834,1.022171373899826e-17,0.0842494410711003,0.10750307470048434,0.0,0.09581308227272295,0.0,0.0,1.880742199880784e-17,2.967016407055879e-16,0.08774106465200295,2.0613062524863002e-16,0.0952690499540409,0.0
RI,0,0,0.0,0.03489545496215293,0.033620689127919025,0.0,0.0,0.003013914503384741,0.0,3.4801119884385117e-16,0.010029987003742014,0.0,0.0029276327551186463,1.4002969943269636e-17,0.04731621098742796,0.0033276521880670714,8.746924533582284e-18,0.046789472681367086,0.061445463057381536,0.07697829186631393,0.09208592171944664,4.739589797020383e-16,6.3042667550401455e-16,4.960697171945759e-18,2.1554756537190006e-16,0.10307906237028526,9.004404426358463e-18,3.912017962576182e-18,4.1167898480759776e-16
SC,0,0,0.02989019430503441,0.01591068677036786,0.0,0.0,0.15104820169471234,2.076207090377507e-18,0.0,0.007980175486860943,1.124494084254664e-18,0.0,0.010138520781906907,0.009631446576533637,0.0,1.1248597539537109e-17,6.175915115233297e-18,0.129869290297937,0.17529660163326252,0.034635695793410554,0.06907543842541602,8.095149846232364e-16,0.0,1.5271945935768278e-17,0.06259330475793867,0.060028791840775725,0.12412365959315638,0.05927709037167796,0.0
SD,0,0,2.228439924457124e-17,0.0980195633915433,1.0657368542353607e-17,0.07461984047189837,7.010669053684249e-17,0.07566027131069633,2.8089398966464023e-16,0.0,9.575807189420274e-18,4.803681977146827e-17,0.05278116467521867,1.500742419070662e-16,0.03554958891581009,0.03162463137192668,0.017606297464267,0.018167342773988116,0.04904124041098615,0.05528114440925222,3.3582739021582236e-17,0.0,6.191831595969372e-16,0.05240524308511724,0.0,0.045464320692021984,1.2492931593906812e-16,2.122177879657382e-17,0.014041662995056428
TN,0,0,0.32621158126413957,1.807003784684429e-18,9.94891018527011e-17,0.0,0.0,0.03327914674286715,2.2840592098959937e-16,0.0,6.7829606319070174e-18,4.5532225894731946e-17,0.12071258943509261,3.8307254158501576e-17,2.788926269080475e-18,0.10461045850343592,3.906652161749097e-17,0.0,3.968899889329757e-17,7.281223963605948e-15,0.0,0.36701621965695624,0.9999999999999907,0.12339319837843137,0.0,4.021636929741554e-17,0.0,2.9037272561022247e-17,0.0
TX,0,0,6.873610498913457e-17,0.05741327287225463,7.474168464529286e-17,4.78027472688329e-16,0.0,0.07502897310829312,3.89448285245373e-16,0.0,4.768180109512608e-17,0.0,0.04794852061144254,0.040624782860971306,0.08873704669572013,0.03747107957485376,0.027834689692478484,0.0,1.3902753275531595e-16,0.06598521732865435,2.4367443826611712e-17,0.22931629313289023,2.314742066852225e-15,0.11473869551658242,8.766304226302424e-16,0.0,0.0,3.1087491618786186e-17,0.0
UT,0,0,3.9917600371798087e-17,0.0388138433377933,0.0,0.0,0.004831710438578569,0.003071093147685132,0.11744315068165015,1.1900366025267894e-16,0.012018541269412415,0.0,0.0,0.02032917926372824,0.03266260160692098,0.0376159150028561,0.006082239832362362,0.0,1.1463607225378517e-15,0.03465549573737249,2.692155626980104e-16,0.0,8.560436917168476e-16,0.023417444883780853,0.0,4.711104393726976e-16,2.5882632609017158e-17,5.620123661549654e-17,1.2006183807561355e-16
VT,0,0,1.7332571642304052e-16,4.565911348800833e-18,7.472524660677438e-17,0.0,4.840649773647161e-17,0.0014241470391804763,0.3174365465798632,0.2998482459991137,0.1290166199979899,0.12466153689857393,0.048761856865123056,0.04878503416260393,0.117630229082805,0.0,2.8324455629499707e-18,0.025648096335300595,0.09836345751215207,0.05652876777807728,0.002214821649369969,0.0,8.006286408241798e-16,9.231787918230124e-17,1.8317276243036717e-17,0.27030677706438905,0.6442924869805486,0.19088058358326376,4.031274940945813e-16
VA,0,0,0.23735165117521603,1.5303057757360067e-18,0.0,1.6450922360052672e-15,9.423213767943036e-16,4.848278985696578e-17,1.0766090433192498e-16,9.26675229769693e-16,0.11542098352492562,0.10807853930722959,0.038431252951024446,0.22391527769749534,0.05632386588345026,3.415236843329339e-18,2.032697009939908e-17,0.0684389462107184,0.0,0.0,7.461423262299667e-17,0.0,3.862668088003637e-17,2.1308124052407194e-17,0.08273814337870282,7.199514503024409e-17,0.0,0.05394672850210209,0.0
